panel,record_type,scenario,tier,year,metric,value,unit,source_boundary,variant
a,trajectory,S1,mid,2025,served_share_pct,81.37529197007804,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S1,mid,2030,served_share_pct,63.76303335297683,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S1,mid,2035,served_share_pct,59.298405614547065,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S1,mid,2040,served_share_pct,57.05021493716412,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S1,mid,2045,served_share_pct,54.762672871317776,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S1,mid,2050,served_share_pct,52.51316428734065,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S1,mid,2055,served_share_pct,51.48389315614475,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S1,mid,2060,served_share_pct,50.66898112448123,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S2,mid,2025,served_share_pct,92.4688098467238,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S2,mid,2030,served_share_pct,81.21092765125363,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S2,mid,2035,served_share_pct,78.90731507518251,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S2,mid,2040,served_share_pct,77.49849394350039,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S2,mid,2045,served_share_pct,76.0254272822921,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S2,mid,2050,served_share_pct,73.96443031823406,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S2,mid,2055,served_share_pct,71.10324481148723,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S2,mid,2060,served_share_pct,68.8637461319405,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S3,mid,2025,served_share_pct,0.0,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S3,mid,2030,served_share_pct,80.95254748083947,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S3,mid,2035,served_share_pct,79.7377606089919,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S3,mid,2040,served_share_pct,79.67115752428533,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S3,mid,2045,served_share_pct,79.44370893247162,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S3,mid,2050,served_share_pct,78.92396497102628,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S3,mid,2055,served_share_pct,78.05765937969232,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S3,mid,2060,served_share_pct,77.10827303385803,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S4,mid,2025,served_share_pct,97.8615498225303,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S4,mid,2030,served_share_pct,90.30992293607284,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S4,mid,2035,served_share_pct,85.0072294499885,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S4,mid,2040,served_share_pct,82.31409509693496,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S4,mid,2045,served_share_pct,81.44180550774993,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S4,mid,2050,served_share_pct,80.02119438008415,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S4,mid,2055,served_share_pct,78.9900733859992,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S4,mid,2060,served_share_pct,78.4507452664363,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
a,trajectory,S5,mid,2025,served_share_pct,83.22306701050465,%,upstream_figure3_dynamic_v08_panel_a_aggregate,dynamic_v08
