dataset_id,public_path,role,origin,access_route,license,sha256,acquisition_command,processing_command,manuscript_uses,source_relative_path,stage_action
figure-01-source,figures/source_data/figure-01.csv,terminal figure-source carrier,author-generated aggregate,repository carrier,CC BY 4.0,d19e81a52b391331718ff2702651b66e676bb38b59762dda7d4b5405b3ea7963,,,Figure 1,,existing
figure-02-aggregate-source,data/author_derived/figure2_aggregate_source.csv,terminal figure-source carrier,author-generated aggregate,repository carrier,CC BY 4.0,fef8a2c346cfaedc7cac0c153fab102624a7ae7ec2e310a2b8f6162aaafa474c,,,Figure 2 panels a-d and f-h,,existing
figure-03-source,figures/source_data/figure-03.csv,terminal figure-source carrier,author-generated aggregate,repository carrier,CC BY 4.0,1a02eb23b52b5a88f6465bb55a694f3d74c5362f9e33ae9b46c95300453cd79b,,,Figure 3,,existing
figure-04-source,figures/source_data/figure-04.csv,terminal figure-source carrier,author-generated aggregate,repository carrier,CC BY 4.0,3d3e24781f389a806d90c8145a6f628d79536dfb03815a1685111873a6aecc0c,,,Figure 4,,existing
figure-05-source,figures/source_data/figure-05.csv,terminal figure-source carrier,author-generated aggregate,repository carrier,CC BY 4.0,10c95e22495c81b1b1563afa0e539c6ad406406bdff53b90f5143b2f6e8db63f,,,Figure 5,,existing
figure-02-source-real,data/figure_source/figure-02.csv,terminal figure-source carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,cc296256a93573b3f3c4d4e96fec1a6f5276e9dd5095e5bf1a4e55e65d39490e,,staging copy from reviewed author-controlled carrier,Figure 2 source-data reproduction,source-id:figure-02-source-real,copy
c1-logistics-v08,data/processed/dynamic_analyses_v08/c1_logistics.csv,terminal model-input carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,256230bf346e9c0a8e77ba0047016941688ff809aad88e47e282616d96b94e5a,,staging copy from reviewed author-controlled carrier,Task 3 dynamic analysis input,source-id:c1-logistics-v08,copy
figure-04-source-real,data/figure_source/figure-04.csv,terminal figure-source carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,eb6debb1f717a263770c73f19c0db2d735b58b6e6341a54a9a449e0671fefabc,,staging copy from reviewed author-controlled carrier,Figure 4 source-data reproduction,source-id:figure-04-source-real,copy
figure-05-source-real,data/figure_source/figure-05.csv,terminal figure-source carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,a10614a8b506dc436c5021dc0f047eb63a8c76f6d9c6571717bbe72d3979208a,,staging copy from reviewed author-controlled carrier,Figure 5 source-data reproduction,source-id:figure-05-source-real,copy
pipeline-network-segments-v01,data/raw/pipeline/pipeline_network_segments_v01.csv,terminal pipeline-input carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,b52f3b2bd17fade12a4b2ab79da5818049fb8971cf71197c9eb1d07ebb3e3752,,staging copy from reviewed author-controlled carrier,Directed pipeline segment input,source-id:pipeline-network-segments-v01,copy
pipeline-segment-transport-task-v01,data/raw/pipeline/segment_transport_task_pipeline_adjusted_long.csv,terminal pipeline-input carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,8d603eab33bd48fbb058431ecf7b9d2a395db0c978d68658b7d5fa390415ea8f,,staging copy from reviewed author-controlled carrier,Segment transport task input,source-id:pipeline-segment-transport-task-v01,copy
pipeline-level-utilization-v01,data/raw/pipeline/pipeline_level_utilization_long.csv,terminal pipeline-input carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,51c3c55fff0aec86fc4c79a11817f12caab39e9785007d7f6032717b23bfd598,,staging copy from reviewed author-controlled carrier,Pipeline utilization input,source-id:pipeline-level-utilization-v01,copy
pipeline-nodes-geocoded-v01,data/raw/pipeline/pipeline_nodes_geocoded.csv,terminal pipeline-input carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,98b637c2b3b9050134e6e2dbc84f0f8d41829a630a90151499d3e30cac5f00f7,,staging copy from reviewed author-controlled carrier,Pipeline node coordinate input,source-id:pipeline-nodes-geocoded-v01,copy
pipeline-city-assignments-v01,data/raw/pipeline/city_assignments.csv,terminal pipeline-input carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,5bc9cfad516875f8ee83944eac8f5a71ede61224f4aebdbe353c77cbcb6a8d6f,,staging copy from reviewed author-controlled carrier,Pipeline city assignment input,source-id:pipeline-city-assignments-v01,copy
pipeline-edges-with-node-coords-v01,data/raw/pipeline/pipeline_edges_with_node_coords.csv,terminal pipeline-input carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,cd6294bd374c75b629c37050e9414c4254f1cc2b0c71cfb2056b774d1465dc2c,,staging copy from reviewed author-controlled carrier,Pipeline edge coordinate input,source-id:pipeline-edges-with-node-coords-v01,copy
supply-province-projection-nbs-v01,data/raw/supply/province_projection_nbs_generation.csv,terminal supply-input carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,f658f36a42cb73e809d615f073bb35663d122fbec53776e6c0d48f5a3c431577,,staging copy from reviewed author-controlled carrier,Provincial supply projection input,source-id:supply-province-projection-nbs-v01,copy
demand-province-corrected-product-coeff-v01,data/raw/demand/province_demand_corrected_product_coeff.csv,terminal demand-input carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,fb7c0bffdff9473601026a5cba6d8871e0c8309ec42fcf38c1964b10ebe0c05b,,staging copy from reviewed author-controlled carrier,Provincial demand coefficient input,source-id:demand-province-corrected-product-coeff-v01,copy
demand-province-origin-2024,data/raw/demand/province_origin_2024.csv,terminal demand-input carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,e0b7481bad60c450a86d1dada28addd8d5896196c6eb172aa5832724e867fd00,,staging copy from reviewed author-controlled carrier,Provincial origin demand input,source-id:demand-province-origin-2024,copy
official-mot-2025-shipping-port-weights,data/raw/official_sources/mot_2025_shipping_port_weights.csv,terminal official-source carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,e7cbb5372dff62cc4330245806dc843fa0325ea1b3b29c1d3ef63587f2e2cc39,,staging copy from reviewed author-controlled carrier,2025 shipping port weights,source-id:official-mot-2025-shipping-port-weights,copy
city-master-2024-v01,data/raw/city_topology_v01/city_master_2024.csv,terminal city-topology carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,0f21ab953c22e8f7cf93879bbcae499bc3900a2d6cb5309b26109a7534aa0045,,staging copy from reviewed author-controlled carrier,Frozen 2024 city-account registry,source-id:city-master-2024-v01,copy
city-aliases-v01,data/raw/city_topology_v01/city_aliases_v01.csv,terminal city-topology carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,2ae73af1e075ea59477427754115128fe6c353ab7ee2fbf7f120cdc41bd88e6a,,staging copy from reviewed author-controlled carrier,Frozen city alias table,source-id:city-aliases-v01,copy
station-city-overrides-v01,data/raw/city_topology_v01/station_city_overrides_v01.csv,terminal city-topology carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,a5c5330f6a6d0c998c770b79bf1b384e75a7fa04a0a879ffdb9a44cd5c8be0f8,,staging copy from reviewed author-controlled carrier,Frozen station-city override table,source-id:station-city-overrides-v01,copy
trucking-city-activity-v01,data/raw/city_topology_v01/trucking_city_activity.csv,terminal city-topology carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,3177078336d966d55ebc015a1e2e83bcb985c30607a911abb58f2cbb12f866a1,,staging copy from reviewed author-controlled carrier,City trucking activity input,source-id:trucking-city-activity-v01,copy
shipping-city-activity-v01,data/raw/city_topology_v01/shipping_city_activity.csv,terminal city-topology carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,95147f05409047128c6c3694145b5224b62a3d56c207ee0fc3abaaacfa888258,,staging copy from reviewed author-controlled carrier,City shipping activity input,source-id:shipping-city-activity-v01,copy
chemical-city-activity-v01,data/raw/city_topology_v01/chemical_city_activity.csv,terminal city-topology carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,ec25660817e082a3fb4b6557b308ed0305b6cbe202da528b15b755a135a73d50,,staging copy from reviewed author-controlled carrier,City chemical activity input,source-id:chemical-city-activity-v01,copy
aviation-refinery-city-activity-v01,data/raw/city_topology_v01/aviation_refinery_city_activity.csv,terminal city-topology carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,a34539eb46c5662e920905bcc234dc5bbcb683e9321d8034667a2cb08bde2cdd,,staging copy from reviewed author-controlled carrier,City aviation refinery activity input,source-id:aviation-refinery-city-activity-v01,copy
city-proxy-supply-weights-v01,data/raw/city_topology_v01/city_proxy_supply_weights.csv,terminal city-topology carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,3378ecf802073ff4483ef72c04fc39d0b3599867f1ba294b37ac1f76950dcbb5,,staging copy from reviewed author-controlled carrier,City supply proxy input,source-id:city-proxy-supply-weights-v01,copy
green-methanol-projects-city-v01,data/raw/city_topology_v01/green_methanol_projects_city.csv,terminal city-topology carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,acad33a5bd71c667d187b4212a6ca96c1e5a9882bddb76b2b6134085d251e80c,,staging copy from reviewed author-controlled carrier,City green-methanol project audit,source-id:green-methanol-projects-city-v01,copy
city-topology-source-manifest-v01,data/raw/city_topology_v01/source_manifest.csv,terminal city-topology carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,6a8587a144c8de2463b5c00c9a171975fdb563938683d989ec0252f3bc2215db,,staging copy from reviewed author-controlled carrier,City-topology source manifest,source-id:city-topology-source-manifest-v01,copy
topology-candidate-links-v038,data/raw/topology/candidate_links.csv,terminal topology carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,db214bfc36956a865f007d503a4d6b264d54fe96f8ac02080ee1b1c33a24594b,,staging copy from reviewed author-controlled carrier,Candidate topology links,source-id:topology-candidate-links-v038,copy
topology-node-audit-v038,data/raw/topology/topology_node_audit.csv,terminal topology carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,f75a9fd4f52b3ca463b4734957216546b250647ab3886c462691e4ec1281eb03,,staging copy from reviewed author-controlled carrier,Topology node audit,source-id:topology-node-audit-v038,copy
topology-edge-flows-v038,data/raw/topology/edge_flows.csv,terminal topology carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,070d3a85c471ee45da3ebb9e1ecdf3d5503c42421c87776da5d6402d53bfa5bd,,staging copy from reviewed author-controlled carrier,Topology edge flows,source-id:topology-edge-flows-v038,copy
topology-best-two-link-plans-v038,data/raw/topology/best_two_link_plans.csv,terminal topology carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,31719b2e24fc247da52e254f7ea3625c230ff489f2756a211f6c24a41fabc627,,staging copy from reviewed author-controlled carrier,Topology two-link plans,source-id:topology-best-two-link-plans-v038,copy
topology-capacity-sensitivity-5point-v038,data/raw/topology/capacity_sensitivity_5point.csv,terminal topology carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,253b8092d0e97202673e22036cebe203bf3a992e6b2bd33f36d09e2a1072dde4,,staging copy from reviewed author-controlled carrier,Topology capacity sensitivity,source-id:topology-capacity-sensitivity-5point-v038,copy
topology-regional-connector-gain-v01,data/raw/topology/regional_connector_gain.csv,terminal topology carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,7050189eb235e066a38393b968b991881603e13f6b2eb3874fe3c7c7aa35a837,,staging copy from reviewed author-controlled carrier,Regional connector gain,source-id:topology-regional-connector-gain-v01,copy
c3-unlocking-cost-v01,data/processed/dynamic_analyses_v08/c3_unlocking_cost.csv,terminal model-output carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,f17eb5a066e849781a5fa480372e3e56ad3ac606aff7ac4c3d4f3cd286cdbe4a,,staging copy from reviewed author-controlled carrier,C3 unlocking-cost dynamic analysis,source-id:c3-unlocking-cost-v01,copy
regional-accounts-v08,data/processed/dynamic_analyses_v08/regional_accounts.csv,terminal model-output carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,e85b1f863e736c662af8e916ab1f4619fc55155d77c8f670308c2e6cb088ddfd,,staging copy from reviewed author-controlled carrier,Regional account dynamic analysis,source-id:regional-accounts-v08,copy
aviation-nodes-v08,data/processed/dynamic_analyses_v08/aviation_nodes.csv,terminal model-output carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,c49b922076ef89f2b1dd92a3ac1d1a11648ad176a67738b54eb52097b805d834,,staging copy from reviewed author-controlled carrier,Aviation node dynamic analysis,source-id:aviation-nodes-v08,copy
standard-map-gs2023-2767,data/external/maps/standard_map_gs2023_2767.json,map acquisition metadata carrier,third-party official catalogue metadata,official catalogue URL,third-party/not-relicensed,d2e84c21619d5daf1ab81385de587773c408fef58e299354ea6ffecdefa8cdff,catalogue metadata: http://bzdt.ch.mnr.gov.cn/download.html?searchText=GS(2023)2767,metadata-only acquisition record,GS(2023)2767 boundary reference; no SHP redistribution,,acquire
model-parameters-v01,config/model_parameters_v01.csv,public model configuration carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,8ff309ee7484f6b4311061d5f682134135b6baff881fa0cbcef6b5fa2bf14406,,author-generated parameter table; no transformation,"Public demand, directed-flow, and dynamic-analysis model configuration",source-id:model-parameters-v01,existing
model-demand-nodes-v01,data/processed/model_v01/demand_nodes.csv,model-stage demand carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,6ce29241c6a12d7c46f3cba6d19d6f0878a250b9ba89ab4488c3578bf6969a84,,generated by model-preprocess,Public model network and analysis demand nodes,source-id:model-demand-nodes-v01,existing
model-demand-totals-v01,data/processed/model_v01/demand_totals.csv,model-stage demand carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,de5662fe297830c502af47c3a7f080ba2803cda6a632152f1ba4a5a25cbfb4c2,,generated by model-preprocess,Public model demand totals,source-id:model-demand-totals-v01,existing
model-supply-nodes-v01,data/processed/model_v01/supply_nodes.csv,model-stage demand carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,4e0858fde7e4377f5a478121484d7005baf3618da0639cd6b60b7ea456354924,,generated by model-preprocess,Public model network supply nodes,source-id:model-supply-nodes-v01,existing
model-component-demand-v01,data/processed/model_v01/component_demand.csv,model-stage demand carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,fc8b36233b89b8644d1d9b3291e95465a1e0269e2415422e2ee4d61d457ea456,,generated by model-preprocess,Public model sector-component demand,source-id:model-component-demand-v01,existing
model-demand-audit-v01,data/processed/model_v01/demand_preprocessing_audit.json,model-stage demand audit,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,74fb82308dddebd9fec39c9d6f5cbaaca50ca99ca18619b77ee32fd45437498f,,generated by model-preprocess,Public demand-stage provenance and schema,source-id:model-demand-audit-v01,existing
model-network-summary-v01,data/processed/model_v01/network_summary.csv,model-stage network carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,f4e33045884b8834bf0d5bb2ef2e19f38934c2ca2289d41dd18975eb5bcf55ab,,generated by model-network,Public directed network summary,source-id:model-network-summary-v01,existing
model-network-edge-flows-v01,data/processed/model_v01/network_edge_flows.csv,model-stage network carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,533cbaf3eb146482cb7fd69bbda95307b9295a0999bca6b7181c58433ed2fa95,,generated by model-network,Public directed network edge flows,source-id:model-network-edge-flows-v01,existing
model-network-service-v01,data/processed/model_v01/network_service.csv,model-stage network carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,de09db2a8c2121bbbeee35c3e3a2edf8deb5bce2d45cbf324322d38e26f5fc3d,,generated by model-network,Public network service accounts,source-id:model-network-service-v01,existing
model-network-edge-catalog-v01,data/processed/model_v01/network_edge_catalog.csv,model-stage network topology carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,c556b61f4c7481b5c47e37dc73a60ba08810eed23ed2d57ab99cef4b1f7a31a4,,generated by model-network,Public base segment capacity and haversine topology,source-id:model-network-edge-catalog-v01,existing
model-network-node-catalog-v01,data/processed/model_v01/network_node_catalog.csv,model-stage network topology carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,fcd4046a5074877b159728119b068284369c2d63cdc40c3d330e90b3a6272800,,generated by model-network,Public base node coordinates and provinces,source-id:model-network-node-catalog-v01,existing
model-network-audit-v01,data/processed/model_v01/network_model_audit.json,model-stage network audit,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,a7ee86932652accf3364690f1cdae072318281a36b8873eeff5fd379836394ee,,generated by model-network,Public network-stage provenance and schema,source-id:model-network-audit-v01,existing
model-analysis-summary-v01,data/processed/model_v01/analysis_summary.csv,model-stage analysis carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,69dd0ee789f2d9621bd77f9df0e8ab815f44174dda580140b660f88c9da69482,,generated by model-analysis,Public model dynamic analysis summary,source-id:model-analysis-summary-v01,existing
model-regional-accounts-v01,data/processed/model_v01/regional_accounts.csv,model-stage analysis carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,f959a09ee98823a3ff26227ead30bfe22758e720303da686f997353506a7947e,,generated by model-analysis,Public regional model-derived accounts,source-id:model-regional-accounts-v01,existing
model-figure-04-source-v01,data/processed/model_v01/figure_04_source.csv,model-stage analysis source carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,ba885e7cdae7b83e3419a4f1b13338b1c6430db84fd076e605558b8053dd5b13,,generated by model-analysis,Public diagnostic Figure 4 source,source-id:model-figure-04-source-v01,existing
model-figure-05-source-v01,data/processed/model_v01/figure_05_source.csv,model-stage analysis source carrier,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,f830bfef30cbc4db851804bd12527e526e612bf5a1d72928125c44421842cc58,,generated by model-analysis,Public diagnostic Figure 5 source,source-id:model-figure-05-source-v01,existing
model-analysis-audit-v01,data/processed/model_v01/dynamic_analysis_audit.json,model-stage analysis audit,author-generated/author-controlled,repository carrier,author-controlled; no additional licence,e2b8fd83a3746e365070a1a36ca74b951fed87f042b7db8f2cf7977836755dac,,generated by model-analysis,Public analysis-stage provenance and schema,source-id:model-analysis-audit-v01,existing
