panel,scenario,year,case,metric,value,unit,denominator,source_type,style,x,y,note
a,S1,2025,dynamic_mid_tier,served_share_pct,81.37529197007804,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2025,81.37529197007804,
a,S1,2030,dynamic_mid_tier,served_share_pct,63.763033352976834,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2030,63.763033352976834,
a,S1,2035,dynamic_mid_tier,served_share_pct,59.298405614547065,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2035,59.298405614547065,
a,S1,2040,dynamic_mid_tier,served_share_pct,57.05021493716413,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2040,57.05021493716413,
a,S1,2045,dynamic_mid_tier,served_share_pct,54.76267287131777,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2045,54.76267287131777,
a,S1,2050,dynamic_mid_tier,served_share_pct,52.51316428734066,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2050,52.51316428734066,
a,S1,2055,dynamic_mid_tier,served_share_pct,51.48389315614476,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2055,51.48389315614476,
a,S1,2060,dynamic_mid_tier,served_share_pct,50.66898112448124,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2060,50.66898112448124,
a,S2,2025,dynamic_mid_tier,served_share_pct,92.4688098467238,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2025,92.4688098467238,
a,S2,2030,dynamic_mid_tier,served_share_pct,81.21092765125364,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2030,81.21092765125364,
a,S2,2035,dynamic_mid_tier,served_share_pct,78.90731507518252,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2035,78.90731507518252,
a,S2,2040,dynamic_mid_tier,served_share_pct,77.49849394350039,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2040,77.49849394350039,
a,S2,2045,dynamic_mid_tier,served_share_pct,76.02542728229209,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2045,76.02542728229209,
a,S2,2050,dynamic_mid_tier,served_share_pct,73.96443031823406,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2050,73.96443031823406,
a,S2,2055,dynamic_mid_tier,served_share_pct,71.10324481148724,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2055,71.10324481148724,
a,S2,2060,dynamic_mid_tier,served_share_pct,68.8637461319405,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2060,68.8637461319405,
a,S3,2025,dynamic_mid_tier,served_share_pct,,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2025,,N.A. for zero-demand case
a,S3,2030,dynamic_mid_tier,served_share_pct,80.95254748083947,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2030,80.95254748083947,
a,S3,2035,dynamic_mid_tier,served_share_pct,79.7377606089919,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2035,79.7377606089919,
a,S3,2040,dynamic_mid_tier,served_share_pct,79.67115752428533,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2040,79.67115752428533,
a,S3,2045,dynamic_mid_tier,served_share_pct,79.44370893247162,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2045,79.44370893247162,
a,S3,2050,dynamic_mid_tier,served_share_pct,78.9239649710263,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2050,78.9239649710263,
a,S3,2055,dynamic_mid_tier,served_share_pct,78.05765937969232,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2055,78.05765937969232,
a,S3,2060,dynamic_mid_tier,served_share_pct,77.10827303385803,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2060,77.10827303385803,
a,S4,2025,dynamic_mid_tier,served_share_pct,97.8615498225303,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2025,97.8615498225303,
a,S4,2030,dynamic_mid_tier,served_share_pct,90.30992293607288,%,non-zero provincial demand cases,frozen_dynamic_v08_gap_account,trajectory,2030,90.30992293607288,
