panel,scenario,tier,year,entity,origin_region,destination_region,region,role,metric,value,x_value,y_value,minimum,maximum,unit,source_type,style
a,S5,mid,2025,,,,NW,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,regional_map_fill
a,S5,mid,2025,,,,SW,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,regional_map_fill
a,S5,mid,2025,,,,NC,,regional_demand_met_pct,99.999537646135,,,,,%,frozen_all_scenario_regional_account,regional_map_fill
a,S5,mid,2025,,,,CC,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,regional_map_fill
a,S5,mid,2025,,,,SC,,regional_demand_met_pct,80.45550345352316,,,,,%,frozen_all_scenario_regional_account,regional_map_fill
a,S5,mid,2025,,,,EC,,regional_demand_met_pct,69.27541653718265,,,,,%,frozen_all_scenario_regional_account,regional_map_fill
a,S5,mid,2025,,,,NE,,regional_demand_met_pct,100.0,,,,,%,frozen_all_scenario_regional_account,regional_map_fill
a,S5,mid,2025,,,,,,national_demand_met_pct,83.22306701050466,,,,,%,derived_from_frozen_all_scenario_regional_account,map_title_stat
a,S5,mid,2025,,NW,NW,,,attributed_interregional_flow,1.2568272856060834,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,NW,SW,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,NW,NC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,NW,CC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,NW,SC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,NW,EC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,NW,NE,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,SW,NW,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,SW,SW,,,attributed_interregional_flow,5.037876189717512,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
a,S5,mid,2025,,SW,NC,,,attributed_interregional_flow,0.0,,,,,10 kt/y,dynamic_v08_decomposed_service_attribution,regional_flow_map_with_od_inset
