panel,scenario,year,k,candidate_ids,links,candidate_id,link,region,construction_cost_10k_cny_per_km,capacity_10kt_y_per_link,metric,value,x_value,unit,source_type,style,marker,capacity_relaxation_gain_mt_y,connector_gain_mt_y,capacity_reaches_connector
a,S1,2025,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2030,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2035,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2040,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2045,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2050,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2055,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2060,,,,,,NE,,,baseline_demand_satisfaction_pct,100.0,100.0,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2060,,,,,,NE,,,connector_gain_2060_pp,0.0,100.0,percentage points,regional_trajectories_audit,radial_gain_band,,,,
a,S1,2025,,,,,,EC,,,baseline_demand_satisfaction_pct,64.72745320828814,46.02616696016457,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2030,,,,,,EC,,,baseline_demand_satisfaction_pct,56.60861612960133,46.02616696016457,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2035,,,,,,EC,,,baseline_demand_satisfaction_pct,51.9054478985588,46.02616696016457,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2040,,,,,,EC,,,baseline_demand_satisfaction_pct,50.07909554663965,46.02616696016457,%,regional_trajectories_audit,radial_year_bar,,,,
a,S1,2045,,,,,,EC,,,baseline_demand_satisfaction_pct,48.07106324030841,46.02616696016457,%,regional_trajectories_audit,radial_year_bar,,,,
