scenario,tier,year,sector,composition_share,component_demand_10kt,scenario_semantics
S1,high,2025,A,1,59.4,single-sector dynamic demand
S1,high,2025,B,0,0,single-sector dynamic demand
S1,high,2025,C,0,0,single-sector dynamic demand
S1,high,2025,D,0,0,single-sector dynamic demand
S1,high,2030,A,1,396,single-sector dynamic demand
S1,high,2030,B,0,0,single-sector dynamic demand
S1,high,2030,C,0,0,single-sector dynamic demand
S1,high,2030,D,0,0,single-sector dynamic demand
S1,high,2035,A,1,780.7664711524,single-sector dynamic demand
S1,high,2035,B,0,0,single-sector dynamic demand
S1,high,2035,C,0,0,single-sector dynamic demand
S1,high,2035,D,0,0,single-sector dynamic demand
S1,high,2040,A,1,1236.859023167,single-sector dynamic demand
S1,high,2040,B,0,0,single-sector dynamic demand
S1,high,2040,C,0,0,single-sector dynamic demand
S1,high,2040,D,0,0,single-sector dynamic demand
S1,high,2045,A,1,1752.466690381,single-sector dynamic demand
S1,high,2045,B,0,0,single-sector dynamic demand
S1,high,2045,C,0,0,single-sector dynamic demand
S1,high,2045,D,0,0,single-sector dynamic demand
S1,high,2050,A,1,2301.674605283,single-sector dynamic demand
S1,high,2050,B,0,0,single-sector dynamic demand
S1,high,2050,C,0,0,single-sector dynamic demand
S1,high,2050,D,0,0,single-sector dynamic demand
S1,high,2055,A,1,2840.077354603,single-sector dynamic demand
S1,high,2055,B,0,0,single-sector dynamic demand
S1,high,2055,C,0,0,single-sector dynamic demand
S1,high,2055,D,0,0,single-sector dynamic demand
S1,high,2060,A,1,3300,single-sector dynamic demand
S1,high,2060,B,0,0,single-sector dynamic demand
S1,high,2060,C,0,0,single-sector dynamic demand
S1,high,2060,D,0,0,single-sector dynamic demand
S1,low,2025,A,1,6.6,single-sector dynamic demand
S1,low,2025,B,0,0,single-sector dynamic demand
S1,low,2025,C,0,0,single-sector dynamic demand
S1,low,2025,D,0,0,single-sector dynamic demand
S1,low,2030,A,1,66,single-sector dynamic demand
S1,low,2030,B,0,0,single-sector dynamic demand
S1,low,2030,C,0,0,single-sector dynamic demand
S1,low,2030,D,0,0,single-sector dynamic demand
S1,low,2035,A,1,135.3445945946,single-sector dynamic demand
S1,low,2035,B,0,0,single-sector dynamic demand
S1,low,2035,C,0,0,single-sector dynamic demand
S1,low,2035,D,0,0,single-sector dynamic demand
S1,low,2040,A,1,215.4810810811,single-sector dynamic demand
S1,low,2040,B,0,0,single-sector dynamic demand
S1,low,2040,C,0,0,single-sector dynamic demand
S1,low,2040,D,0,0,single-sector dynamic demand
S1,low,2045,A,1,307.2121621622,single-sector dynamic demand
S1,low,2045,B,0,0,single-sector dynamic demand
S1,low,2045,C,0,0,single-sector dynamic demand
S1,low,2045,D,0,0,single-sector dynamic demand
S1,low,2050,A,1,411.3405405405,single-sector dynamic demand
S1,low,2050,B,0,0,single-sector dynamic demand
S1,low,2050,C,0,0,single-sector dynamic demand
S1,low,2050,D,0,0,single-sector dynamic demand
S1,low,2055,A,1,528.6689189189,single-sector dynamic demand
S1,low,2055,B,0,0,single-sector dynamic demand
S1,low,2055,C,0,0,single-sector dynamic demand
S1,low,2055,D,0,0,single-sector dynamic demand
S1,low,2060,A,1,660,single-sector dynamic demand
S1,low,2060,B,0,0,single-sector dynamic demand
S1,low,2060,C,0,0,single-sector dynamic demand
S1,low,2060,D,0,0,single-sector dynamic demand
S1,mid,2025,A,1,26.4,single-sector dynamic demand
S1,mid,2025,B,0,0,single-sector dynamic demand
S1,mid,2025,C,0,0,single-sector dynamic demand
S1,mid,2025,D,0,0,single-sector dynamic demand
S1,mid,2030,A,1,198,single-sector dynamic demand
S1,mid,2030,B,0,0,single-sector dynamic demand
S1,mid,2030,C,0,0,single-sector dynamic demand
S1,mid,2030,D,0,0,single-sector dynamic demand
S1,mid,2035,A,1,395.8921062512,single-sector dynamic demand
S1,mid,2035,B,0,0,single-sector dynamic demand
