scenario,tier,year,demand_10kt,scenario_semantics
S1,high,2025,59.4,single-sector dynamic demand
S1,high,2030,396,single-sector dynamic demand
S1,high,2035,780.7664711524,single-sector dynamic demand
S1,high,2040,1236.859023167,single-sector dynamic demand
S1,high,2045,1752.466690381,single-sector dynamic demand
S1,high,2050,2301.674605283,single-sector dynamic demand
S1,high,2055,2840.077354603,single-sector dynamic demand
S1,high,2060,3300,single-sector dynamic demand
S1,low,2025,6.6,single-sector dynamic demand
S1,low,2030,66,single-sector dynamic demand
S1,low,2035,135.3445945946,single-sector dynamic demand
S1,low,2040,215.4810810811,single-sector dynamic demand
S1,low,2045,307.2121621622,single-sector dynamic demand
S1,low,2050,411.3405405405,single-sector dynamic demand
S1,low,2055,528.6689189189,single-sector dynamic demand
S1,low,2060,660,single-sector dynamic demand
S1,mid,2025,26.4,single-sector dynamic demand
S1,mid,2030,198,single-sector dynamic demand
S1,mid,2035,395.8921062512,single-sector dynamic demand
S1,mid,2040,630.4447531444,single-sector dynamic demand
S1,mid,2045,903.8949033227,single-sector dynamic demand
S1,mid,2050,1218.479519429,single-sector dynamic demand
S1,mid,2055,1576.435564107,single-sector dynamic demand
S1,mid,2060,1980,single-sector dynamic demand
S2,high,2025,80,single-sector dynamic demand
S2,high,2030,400,single-sector dynamic demand
S2,high,2035,857.8519218541,single-sector dynamic demand
S2,high,2040,1419.574269497,single-sector dynamic demand
S2,high,2045,2089.908647031,single-sector dynamic demand
S2,high,2050,2873.596658558,single-sector dynamic demand
S2,high,2055,3775.37990818,single-sector dynamic demand
S2,high,2060,4800,single-sector dynamic demand
S2,low,2025,8,single-sector dynamic demand
S2,low,2030,80,single-sector dynamic demand
S2,low,2035,204.5657984459,single-sector dynamic demand
S2,low,2040,380.3966029631,single-sector dynamic demand
S2,low,2045,607.6739194644,single-sector dynamic demand
S2,low,2050,886.5792538625,single-sector dynamic demand
S2,low,2055,1217.29411207,single-sector dynamic demand
S2,low,2060,1600,single-sector dynamic demand
S2,mid,2025,40,single-sector dynamic demand
S2,mid,2030,240,single-sector dynamic demand
S2,mid,2035,535.3819471956,single-sector dynamic demand
S2,mid,2040,906.2412733627,single-sector dynamic demand
S2,mid,2045,1355.355360114,single-sector dynamic demand
S2,mid,2050,1885.501589062,single-sector dynamic demand
S2,mid,2055,2499.45734182,single-sector dynamic demand
S2,mid,2060,3200,single-sector dynamic demand
S3,high,2025,0,single-sector dynamic demand
S3,high,2030,405,single-sector dynamic demand
S3,high,2035,777.4992098609,single-sector dynamic demand
S3,high,2040,1140.227560051,single-sector dynamic demand
S3,high,2045,1490.013432364,single-sector dynamic demand
S3,high,2050,1823.685208597,single-sector dynamic demand
S3,high,2055,2138.071270544,single-sector dynamic demand
S3,high,2060,2430,single-sector dynamic demand
S3,low,2025,0,single-sector dynamic demand
S3,low,2030,27,single-sector dynamic demand
S3,low,2035,49.32142857143,single-sector dynamic demand
S3,low,2040,70.58857142857,single-sector dynamic demand
S3,low,2045,90.29571428571,single-sector dynamic demand
S3,low,2050,107.9371428571,single-sector dynamic demand
S3,low,2055,123.0071428571,single-sector dynamic demand
S3,low,2060,135,single-sector dynamic demand
S3,mid,2025,0,single-sector dynamic demand
S3,mid,2030,162,single-sector dynamic demand
S3,mid,2035,295.9285714286,single-sector dynamic demand
S3,mid,2040,423.5314285714,single-sector dynamic demand
S3,mid,2045,541.7742857143,single-sector dynamic demand
S3,mid,2050,647.6228571429,single-sector dynamic demand
S3,mid,2055,738.0428571429,single-sector dynamic demand
S3,mid,2060,810,single-sector dynamic demand
S4,high,2025,12.6,single-sector dynamic demand
S4,high,2030,252,single-sector dynamic demand
S4,high,2035,523.6494297184,single-sector dynamic demand
S4,high,2040,840.3483539625,single-sector dynamic demand
S4,high,2045,1177.402942313,single-sector dynamic demand
S4,high,2050,1512.43403927,single-sector dynamic demand
S4,high,2055,1825.638226245,single-sector dynamic demand
S4,high,2060,2100,single-sector dynamic demand
S4,low,2025,0,single-sector dynamic demand
S4,low,2030,42,single-sector dynamic demand
S4,low,2035,101.3363336397,single-sector dynamic demand
S4,low,2040,177.3767560664,single-sector dynamic demand
S4,low,2045,259.8165919152,single-sector dynamic demand
S4,low,2050,336.2668875772,single-sector dynamic demand
S4,low,2055,393.6583798238,single-sector dynamic demand
S4,low,2060,420,single-sector dynamic demand
S4,mid,2025,4.2,single-sector dynamic demand
S4,mid,2030,126,single-sector dynamic demand
S4,mid,2035,292.5066965452,single-sector dynamic demand
S4,mid,2040,505.0362478155,single-sector dynamic demand
S4,mid,2045,738.155722728,single-sector dynamic demand
S4,mid,2050,962.2677715768,single-sector dynamic demand
S4,mid,2055,1146.141338127,single-sector dynamic demand
S4,mid,2060,1260,single-sector dynamic demand
S5,high,2025,66.36263157895,exact sum of S1-S4; no second weighting
S5,high,2030,374.6352374398,exact sum of S1-S4; no second weighting
S5,high,2035,756.5973508203,exact sum of S1-S4; no second weighting
S5,high,2040,1197.175883654,exact sum of S1-S4; no second weighting
S5,high,2045,1696.71717,exact sum of S1-S4; no second weighting
S5,high,2050,2252.10536181,exact sum of S1-S4; no second weighting
S5,high,2055,2856.920323609,exact sum of S1-S4; no second weighting
S5,high,2060,3503.159144893,exact sum of S1-S4; no second weighting
S5,low,2025,7.367123287671,exact sum of S1-S4; no second weighting
S5,low,2030,61.62325581395,exact sum of S1-S4; no second weighting
S5,low,2035,148.5358970646,exact sum of S1-S4; no second weighting
S5,low,2040,269.6934485997,exact sum of S1-S4; no second weighting
S5,low,2045,426.3285136328,exact sum of S1-S4; no second weighting
S5,low,2050,619.9040761419,exact sum of S1-S4; no second weighting
S5,low,2055,853.6060659087,exact sum of S1-S4; no second weighting
S5,low,2060,1133.294849023,exact sum of S1-S4; no second weighting
S5,mid,2025,32.78470254958,exact sum of S1-S4; no second weighting
S5,mid,2030,191.3553719008,exact sum of S1-S4; no second weighting
S5,mid,2035,405.6685495027,exact sum of S1-S4; no second weighting
S5,mid,2040,670.5899327797,exact sum of S1-S4; no second weighting
