panel,scenario,year,metric,value,unit,source_type,style,marker,capacity_relaxation_gain_mt_y,connector_gain_mt_y,capacity_reaches_connector
c,S1,2060,capacity_relaxation_gain_mt_y,0.0,Mt/y,public_directed_model_counterfactual,dumbbell_endpoint,hollow_gray_circle,0.0,3.002119999999999,False
c,S1,2060,fixed_connector_gain_mt_y,3.002119999999999,Mt/y,public_directed_model_counterfactual,dumbbell_endpoint,orange_square,0.0,3.002119999999999,False
c,S2,2060,capacity_relaxation_gain_mt_y,0.0,Mt/y,public_directed_model_counterfactual,dumbbell_endpoint,hollow_gray_circle,0.0,2.1709799999999997,False
c,S2,2060,fixed_connector_gain_mt_y,2.1709799999999997,Mt/y,public_directed_model_counterfactual,dumbbell_endpoint,orange_square,0.0,2.1709799999999997,False
c,S3,2060,capacity_relaxation_gain_mt_y,0.0,Mt/y,public_directed_model_counterfactual,dumbbell_endpoint,hollow_gray_circle,0.0,1.3283799999999997,False
c,S3,2060,fixed_connector_gain_mt_y,1.3283799999999997,Mt/y,public_directed_model_counterfactual,dumbbell_endpoint,orange_square,0.0,1.3283799999999997,False
c,S4,2060,capacity_relaxation_gain_mt_y,0.0,Mt/y,public_directed_model_counterfactual,dumbbell_endpoint,hollow_gray_circle,0.0,0.8201400000000001,False
c,S4,2060,fixed_connector_gain_mt_y,0.8201400000000001,Mt/y,public_directed_model_counterfactual,dumbbell_endpoint,orange_square,0.0,0.8201400000000001,False
c,S5,2060,capacity_relaxation_gain_mt_y,0.0,Mt/y,public_directed_model_counterfactual,dumbbell_endpoint,hollow_gray_circle,0.0,2.320240000000001,False
c,S5,2060,fixed_connector_gain_mt_y,2.320240000000001,Mt/y,public_directed_model_counterfactual,dumbbell_endpoint,orange_square,0.0,2.320240000000001,False
c,S6,2060,capacity_relaxation_gain_mt_y,0.0,Mt/y,public_directed_model_counterfactual,dumbbell_endpoint,hollow_gray_circle,0.0,2.2146399999999993,False
c,S6,2060,fixed_connector_gain_mt_y,2.2146399999999993,Mt/y,public_directed_model_counterfactual,dumbbell_endpoint,orange_square,0.0,2.2146399999999993,False
c,S7,2060,capacity_relaxation_gain_mt_y,0.0,Mt/y,public_directed_model_counterfactual,dumbbell_endpoint,hollow_gray_circle,0.0,2.3363199999999984,False
c,S7,2060,fixed_connector_gain_mt_y,2.3363199999999984,Mt/y,public_directed_model_counterfactual,dumbbell_endpoint,orange_square,0.0,2.3363199999999984,False
c,S8,2060,capacity_relaxation_gain_mt_y,0.0,Mt/y,public_directed_model_counterfactual,dumbbell_endpoint,hollow_gray_circle,0.0,2.1048,False
c,S8,2060,fixed_connector_gain_mt_y,2.1048,Mt/y,public_directed_model_counterfactual,dumbbell_endpoint,orange_square,0.0,2.1048,False
