scenario,tier,year,segment_id,from_node_id,to_node_id,flow_10kt,capacity_10kt,flow_to_capacity_pct,distance_km
S2,high,2030,S115,N067,N053,3.101,494.64530972647526,0.626913859087184,0.6109355782786213
S2,high,2030,S116,N053,N046,4.632,590.040307309705,0.7850311144199034,0.6388577846860636
S2,high,2035,S115,N067,N053,46.021,510.7553069775432,9.010381169083661,0.6109355782786213
S2,high,2035,S116,N053,N046,23.571,590.7167893391488,3.9902370180420186,0.6388577846860636
S2,high,2040,S013,N033,N133,5.983,664.2436766912931,0.9007236666222109,4.93221564323704
S2,high,2040,S115,N067,N053,106.336,520.0134834621572,20.44870053984636,0.6109355782786213
S2,high,2040,S116,N053,N046,51.302,594.0855871798838,8.635456086980648,0.6388577846860636
S2,high,2045,S014,N133,N078,17.538,515.2921723951683,3.4035059990296963,4.206035336869822
S2,high,2045,S032,N132,N133,59.522,60.32139432744668,98.67477478536507,2.0908149952548554
S2,high,2045,S047,N069,N127,3.359,557.0336499239412,0.6030156347751426,3.641649111212651
S2,high,2045,S115,N067,N053,182.366,533.0043471983331,34.214730322291516,0.6109355782786213
S2,high,2045,S116,N053,N046,85.473,599.3703686137759,14.260464726957055,0.6388577846860636
S2,high,2050,S014,N133,N078,49.972,607.2698339672603,8.228961361959259,4.206035336869822
S2,high,2050,S015,N078,N144,5.565,270.11301831513526,2.060248719114837,2.7323439698275602
S2,high,2050,S032,N132,N133,140.066,173.37185041702344,80.78935517103235,2.0908149952548554
S2,high,2050,S115,N067,N053,210.399,551.7510752633809,38.132956949755844,0.6109355782786213
S2,high,2050,S116,N053,N046,61.965,607.2788165492509,10.203715050049762,0.6388577846860636
S2,high,2055,S014,N133,N078,108.103,770.3517308641887,14.032940495730296,4.206035336869822
S2,high,2055,S015,N078,N144,31.058,372.7328034422147,8.332510504355158,2.7323439698275602
S2,high,2055,S032,N132,N133,258.921,365.5451329729143,70.83147240786411,2.0908149952548554
S2,high,2055,S034,N018,N057,5.815,687.1686941372941,0.8462259776400963,5.3727797621738445
S2,high,2055,S115,N067,N053,222.891,587.5589068210993,37.93508998202731,0.6109355782786213
S2,high,2055,S116,N053,N046,12.831,618.6191010252712,2.0741357612033773,0.6388577846860636
S2,high,2060,S014,N133,N078,179.128,972.968053464459,18.41047086409228,4.206035336869822
S2,high,2060,S015,N078,N144,63.444,497.09868408958084,12.762858166924241,2.7323439698275602
S2,high,2060,S032,N132,N133,403.792,691.8298716318395,58.365794331424844,2.0908149952548554
S2,high,2060,S034,N018,N057,14.666,695.8883450140861,2.1075220047985046,5.3727797621738445
S2,high,2060,S115,N067,N053,230.656,633.6292689510332,36.402358808621436,0.6109355782786213
S2,low,2035,S115,N067,N053,0.311,510.7553069775432,0.060890214110623814,0.6109355782786213
S2,low,2035,S116,N053,N046,1.895,590.7167893391488,0.32079670566329915,0.6388577846860636
S2,low,2040,S115,N067,N053,17.891,520.0134834621572,3.4404877121425597,0.6109355782786213
S2,low,2040,S116,N053,N046,10.23,594.0855871798838,1.721974109582707,0.6388577846860636
S2,low,2045,S115,N067,N053,42.915,533.0043471983331,8.051529077685206,0.6109355782786213
S2,low,2045,S116,N053,N046,21.615,599.3703686137759,3.606284383058706,0.6388577846860636
S2,low,2050,S014,N133,N078,7.321,607.2698339672603,1.2055596360142429,4.206035336869822
S2,low,2050,S032,N132,N133,20.701,173.37185041702344,11.940231329484249,2.0908149952548554
S2,low,2050,S047,N069,N127,1.777,610.4842547997948,0.2910803982295592,3.641649111212651
S2,low,2050,S115,N067,N053,75.41,551.7510752633809,13.667395204259945,0.6109355782786213
S2,low,2050,S116,N053,N046,36.061,607.2788165492509,5.938129079639223,0.6388577846860636
S2,low,2055,S014,N133,N078,19.707,770.3517308641887,2.5581820888352493,4.206035336869822
S2,low,2055,S015,N078,N144,0.511,372.7328034422147,0.13709552668315686,2.7323439698275602
S2,low,2055,S032,N132,N133,55.063,365.5451329729143,15.0632562256218,2.0908149952548554
S2,low,2055,S115,N067,N053,91.221,587.5589068210993,15.525422037006937,0.6109355782786213
S2,low,2055,S116,N053,N046,29.399,618.6191010252712,4.752358915409407,0.6388577846860636
S2,low,2060,S014,N133,N078,46.181,972.968053464459,4.746404554143659,4.206035336869822
S2,low,2060,S015,N078,N144,12.57,497.09868408958084,2.5286729581715797,2.7323439698275602
S2,low,2060,S032,N132,N133,109.066,691.8298716318395,15.76485845324123,2.0908149952548554
S2,low,2060,S034,N018,N057,2.629,695.8883450140861,0.3777904916552071,5.3727797621738445
S2,low,2060,S115,N067,N053,94.192,633.6292689510332,14.865474910263202,0.6109355782786213
S2,low,2060,S116,N053,N046,5.457,639.9646516167563,0.852703346382314,0.6388577846860636
