node_id,province_key,longitude,latitude
N001,新疆,87.3044857,44.00921537
N002,湖南,113.260805,29.47623236
N003,广东,113.1135059,23.02428458
N004,江西,117.938144,28.45851288
N005,福建,118.0810222,24.48114183
N006,广东,110.3828201,21.26187491
N007,山东,118.3508968,35.10515503
N008,浙江,121.4197134,28.66043016
N009,新疆,87.61399479,43.82418589
N010,江西,115.9490642,29.65948813
N011,安徽,115.7750466,33.84858031
N012,河北,115.4554531,38.87308485
N013,云南,99.15527561,25.1118833
N014,河南,114.0851703,32.15058474
N015,新疆,84.88680126,45.57908248
N016,山东,116.5836833,35.41651785
N017,安徽,116.5092677,31.73197266
N018,甘肃,103.8314138,36.06163277
N019,福建,119.2915964,26.07737918
N020,内蒙古,109.9479759,40.62075692
N021,广东,113.5728911,22.2745396
N022,江苏,118.7902705,32.06154044
N023,江苏,118.7902705,32.06154044
N024,广西,108.3621636,22.82027814
N025,江西,115.8530507,28.68633588
N026,广东,113.2578297,23.1332448
N027,广东,113.1135059,23.02428458
N028,天津,117.2614223,39.13515139
N029,安徽,117.2197334,31.82313855
N030,江西,114.9619304,27.09470019
N031,吉林,126.549541,43.83796639
N032,内蒙古,111.7415103,40.84127836
N033,陕西,108.7047772,34.3303351
N034,新疆,93.51362048,42.81802454
N035,浙江,120.7489996,30.74856427
N036,河北,116.6776883,39.53722851
N037,天津,117.2614223,39.13515139
N038,云南,100.2621213,25.60771126
N039,广东,114.0548095,22.54760649
N040,山西,112.5426953,37.87098243
N041,广东,114.0548095,22.54760649
N042,湖南,111.990876,27.70083635
N043,浙江,121.6219554,29.8607673
N044,云南,102.7432509,25.08100417
N045,安徽,117.107568,30.53495975
N046,安徽,116.9588379,33.64921788
N047,云南,102.7432509,25.08100417
N048,河南,113.6193176,34.74752068
N049,内蒙古,107.3813318,40.7431593
N050,湖北,113.3761098,31.69215886
N051,湖北,113.3761098,31.69215886
N052,甘肃,100.4482023,38.92467819
N053,江苏,117.2749121,34.20440827
N054,江苏,117.2749121,34.20440827
N055,山东,116.3499607,37.4368547
N056,广东,114.4106386,23.11487488
N057,四川,104.0385743,30.69284828
N058,辽宁,123.9514419,41.87872444
N059,西藏,91.17069453,29.65619389
N060,广东,113.5728911,22.2745396
N061,河南,113.9183294,35.30446704
N062,云南,102.7432509,25.08100417
N063,云南,102.7432509,25.08100417
N064,山西,112.7446161,37.68567283
N065,山东,116.5836833,35.41651785
N066,云南,103.7914451,25.49347973
N067,山东,117.3160283,34.81395871
N068,甘肃,98.49115772,39.73039911
N069,广西,109.4257429,24.32828748
N070,广西,109.4257429,24.32828748
N071,湖南,113.1266032,27.83380795
N072,青海,97.36903221,37.37652179
N073,广西,110.2833245,25.27690019
N074,浙江,120.2048484,30.24977957
N075,广东,116.1160706,24.29108064
N076,江西,114.4123745,27.81877183
N077,甘肃,102.63634,37.92858453
N078,湖北,114.3012374,30.59713291
N079,天津,117.2614223,39.13515139
N080,重庆,106.5467371,29.56659842
N081,广东,113.0740716,22.58145271
N082,河南,114.3583007,36.09691222
N083,湖南,113.260805,29.47623236
N084,河北,116.855601,38.31116389
N085,福建,118.6751351,24.87843187
N086,山东,117.0815513,36.20000913
N087,江苏,119.915306,32.45511081
N088,河南,112.402798,34.64229511
N089,山东,116.9954885,36.64792998
N090,山东,116.5836833,35.41651785
N091,山东,118.050415,36.81483572
N092,安徽,117.0131142,32.58738167
N093,浙江,120.0792982,30.8934637
N094,湖南,112.9385458,27.83333305
N095,广东,110.3828201,21.26187491
N096,河南,114.012047,33.58330496
N097,山东,119.1535384,36.70714657
N098,河南,115.0236155,35.76426442
N099,浙江,120.6794261,28.01154027
N100,新疆,84.88680126,45.57908248
N101,云南,102.5258923,24.35033692
N102,新疆,87.61399479,43.82418589
N103,广东,113.5728911,22.2745396
