scenario,tier,year,demand_10kt,supply_10kt,local_direct_10kt,pipeline_served_10kt,served_10kt,unserved_10kt,demand_met_pct,pipeline_tonne_km,edges_used,max_edge_util_pct,min_cost_objective,active_segments,capacity_factor,connector_count
S1,high,2025,59.400000000000006,1261.7190721006984,39.83460370241868,0.0,39.83460370241868,19.565396297581323,67.06162239464423,0.0,0,0.0,0,96,1.0,0
S1,high,2030,396.00000000000006,3873.0158730158746,227.25812384857107,0.0,227.25812384857107,168.74187615142898,57.38841511327552,0.0,0,0.0,0,97,1.0,0
S1,high,2035,780.7664711524275,5530.158730158732,427.11578261734877,0.0,427.11578261734877,353.6506885350787,54.70467782599796,0.0,0,0.0,0,103,1.0,0
S1,high,2040,1236.8590231665928,6843.174603174606,650.8289284746159,0.0,650.8289284746159,586.030094691977,52.61949149292462,0.0,0,0.0,0,101,1.0,0
S1,high,2045,1752.466690381332,8156.19047619048,849.0386359156491,0.0,849.0386359156491,903.4280544656829,48.44820392739679,0.0,0,0.0,0,114,1.0,0
S1,high,2050,2301.6746052825733,9469.206349206353,1053.3368702293742,0.0,1053.3368702293742,1248.3377350531991,45.763934998103586,0.0,0,0.0,0,121,1.0,0
S1,high,2055,2840.0773546027526,10782.222222222226,1255.157693829274,0.0,1255.157693829274,1584.9196607734787,44.19448969568068,0.0,0,0.0,0,125,1.0,0
S1,high,2060,3300.0000000000005,12095.2380952381,1438.9845821375616,0.0,1438.9845821375616,1861.0154178624389,43.60559339810792,0.0,0,0.0,0,132,1.0,0
S1,low,2025,6.6,1261.7190721006984,5.53309868973724,0.0,5.53309868973724,1.06690131026276,83.83482863238243,0.0,0,0.0,0,96,1.0,0
S1,low,2030,66.0,1452.3809523809548,44.23528957963019,0.0,44.23528957963019,21.76471042036981,67.02316602974271,0.0,0,0.0,0,97,1.0,0
S1,low,2035,135.3445945945946,2073.8095238095275,84.03151984245612,0.0,84.03151984245612,51.31307475213849,62.08708969439122,0.0,0,0.0,0,103,1.0,0
S1,low,2040,215.48108108108107,2566.190476190481,128.1743228197414,0.0,128.1743228197414,87.30675826133967,59.48286604869597,0.0,0,0.0,0,101,1.0,0
S1,low,2045,307.2121621621622,3058.571428571434,178.0052185776471,0.0,178.0052185776471,129.2069435845151,57.9421131392861,0.0,0,0.0,0,114,1.0,0
S1,low,2050,411.3405405405406,3550.952380952387,233.64021379016503,0.0,233.64021379016503,177.70032675037555,56.79970505293244,0.0,0,0.0,0,121,1.0,0
S1,low,2055,528.668918918919,4043.3333333333408,294.6903444928856,0.0,294.6903444928856,233.9785744260334,55.74194622515376,0.0,0,0.0,0,125,1.0,0
S1,low,2060,660.0,4535.7142857142935,362.3196787488847,0.0,362.3196787488847,297.6803212511153,54.89692102255829,0.0,0,0.0,0,132,1.0,0
S1,mid,2025,26.4,1261.7190721006984,19.6415770801006,0.0,19.6415770801006,6.758422919899399,74.39991318219924,0.0,0,0.0,0,96,1.0,0
S1,mid,2030,198.00000000000003,2224.9240121580538,116.08560603889413,0.0,116.08560603889413,81.9143939611059,58.629093959037434,0.0,0,0.0,0,97,1.0,0
S1,mid,2035,395.8921062511733,3460.045836516417,223.63870696079437,0.0,223.63870696079437,172.25339929037892,56.489812105247445,0.0,0,0.0,0,103,1.0,0
S1,mid,2040,630.4447531443589,4635.6989247311785,347.7443867289305,0.0,347.7443867289305,282.70036641542833,55.15858209534567,0.0,0,0.0,0,101,1.0,0
S1,mid,2045,903.8949033226958,5525.161290322575,486.9254090071219,0.0,486.9254090071219,416.96949431557385,53.86969294961128,0.0,0,0.0,0,114,1.0,0
S1,mid,2050,1218.4795194293224,5924.5836516424615,608.229851845519,0.0,608.229851845519,610.2496675838034,49.917117370211095,0.0,0,0.0,0,121,1.0,0
S1,mid,2055,1576.4355641073778,6194.042553191487,708.4151015005103,0.0,708.4151015005103,868.0204626068675,44.93777720002371,0.0,0,0.0,0,125,1.0,0
S1,mid,2060,1980.0000000000002,6335.600907029496,811.4014262647285,0.0,811.4014262647285,1168.5985737352717,40.979870013370125,0.0,0,0.0,0,132,1.0,0
S2,high,2025,80.0,1261.7190721006984,64.48441138021707,0.0,64.48441138021707,15.515588619782932,80.60551422527134,0.0,0,0.0,0,96,1.0,0
S2,high,2030,400.0,3873.0158730158746,301.8139472771263,4.632,306.4459472771263,93.55405272287368,76.61148681928158,48537.00486907851,2,0.7850311144199034,4854559,97,1.0,0
S2,high,2035,857.8519218541271,5530.158730158732,588.8993831801757,46.021,634.9203831801757,222.93153867395142,74.01281818054146,431743.83090795635,2,9.010381169083661,43180700,103,1.0,0
S2,high,2040,1419.5742694970918,6843.174603174606,911.9134527924086,112.319,1024.2324527924086,395.3418167046832,72.15067748130292,1272485.739152871,3,20.44870053984636,127261430,101,1.0,0
S2,high,2045,2089.9086470310285,8156.19047619048,1235.4518367031592,245.247,1480.6988367031593,609.2098103278693,70.84993111094467,3764662.0634897677,5,98.67477478536507,376501681,114,1.0,0
S2,high,2050,2873.59665855807,9469.206349206353,1566.7136042579143,350.465,1917.1786042579142,956.4180543001557,66.71703903010268,6863686.425338312,5,80.78935517103235,686413242,121,1.0,0
S2,high,2055,3775.3799081803486,10782.222222222226,1887.1429830102556,487.627,2374.7699830102556,1400.609925170093,62.90148384443894,12565140.26953373,6,70.83147240786411,1256564890,125,1.0,0
S2,high,2060,4800.0,12095.2380952381,2228.7591611102057,649.114,2877.8731611102057,1922.1268388897943,59.95569085646262,19907370.419439808,5,58.365794331424844,1990801682,132,1.0,0
S2,low,2025,8.0,1261.7190721006984,7.331946206927431,0.0,7.331946206927431,0.668053793072569,91.64932758659289,0.0,0,0.0,0,96,1.0,0
S2,low,2030,80.0,1452.3809523809548,65.32603550350443,0.0,65.32603550350443,14.673964496495572,81.65754437938054,0.0,0,0.0,0,97,1.0,0
S2,low,2035,204.56579844588111,2073.8095238095275,155.340406543364,1.895,157.235406543364,47.33039190251711,76.86299847672797,14006.364668247417,2,0.32079670566329915,1400926,103,1.0,0
S2,low,2040,380.3966029631088,2566.190476190481,266.61831854127456,17.891,284.5093185412746,95.88728442183424,74.79281263951417,174657.63568321243,2,3.4404877121425597,17468371,101,1.0,0
S2,low,2045,607.673919464409,3058.571428571434,398.6209980027235,42.915,441.53599800272355,166.13792146168544,72.66002108365686,400272.113578163,2,8.051529077685206,40033050,114,1.0,0
S2,low,2050,886.5792538625069,3550.952380952387,532.6074185020558,97.888,630.4954185020558,256.0838353604511,71.11551683114781,1496540.5892017456,5,13.667395204259945,149668240,121,1.0,0
S2,low,2055,1217.2941120701287,4043.3333333333408,670.7231659430823,146.284,817.0071659430823,400.28694612704635,67.11666127700899,2739230.466341333,5,15.525422037006937,273942419,125,1.0,0
S2,low,2060,1600.0,4535.7142857142935,799.2177641878317,205.887,1005.1047641878317,594.8952358121683,62.81904776173948,5317778.387801905,6,15.76485845324123,531799484,132,1.0,0
S2,mid,2025,40.0,1261.7190721006984,33.88102393868953,0.0,33.88102393868953,6.11897606131047,84.70255984672383,0.0,0,0.0,0,96,1.0,0
S2,mid,2030,240.0,2224.9240121580538,180.01222636300872,3.266,183.2782263630087,56.72177363699129,76.36592765125364,40775.4857439471,2,0.6588559389761794,4078223,97,1.0,0
S2,mid,2035,535.3819471955911,3460.045836516417,367.7609199292724,28.598,396.3589199292724,139.0230272663187,74.03292584022648,268416.62795602507,2,5.5991586596000635,26845591,103,1.0,0
S2,mid,2040,906.2412733627376,4635.6989247311785,594.0245383505221,64.017,658.0415383505222,248.19973501221546,72.6121793050503,592138.3968316355,2,12.310642326769338,59222439,101,1.0,0
S2,mid,2045,1355.3553601140957,5525.161290322575,818.3209037201901,145.721,964.0419037201901,391.31345639390554,71.12834995827484,2070473.0425542332,4,51.25876207727375,207067830,114,1.0,0
S2,mid,2050,1885.5015890623215,5924.5836516424615,997.0523089911966,234.912,1231.9643089911965,653.537280071125,65.33881043313596,5137848.937061964,6,61.24465981334076,513812556,121,1.0,0
S2,mid,2055,2499.4573418200707,6194.042553191487,1144.5525727130164,342.167,1486.7195727130163,1012.7377691070544,59.48169419968605,10778722.259623488,5,59.844867368596425,1077905969,125,1.0,0
S2,mid,2060,3200.0,6335.600907029496,1292.8175762220958,468.685,1761.5025762220957,1438.4974237779043,55.04695550694049,17909717.389731742,5,51.562965785009425,1791017155,132,1.0,0
S3,high,2025,0.0,1261.7190721006984,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,96,1.0,0
S3,high,2030,405.00000000000006,3873.0158730158746,201.79795752558573,50.209,252.00695752558573,152.99304247441432,62.22394012977425,2446628.2953110514,2,6.886166666666666,244652221,97,1.0,0
S3,high,2035,777.4992098609357,5530.158730158732,365.897295219258,104.979,470.876295219258,306.6229146416777,60.562929099758115,5280579.862130357,2,9.869,528050055,103,1.0,0
S3,high,2040,1140.2275600505686,6843.174603174606,521.6556032727391,159.74,681.3956032727391,458.83195677782953,59.7596152861381,8166479.098188684,2,13.574947534803423,816647180,101,1.0,0
S3,high,2045,1490.0134323640964,8156.19047619048,672.5317650005571,212.339,884.8707650005572,605.1426673635392,59.38676429222499,10936224.910544856,2,19.927428063312735,1093628487,114,1.0,0
S3,high,2050,1823.6852085967134,9469.206349206353,817.3293863031261,262.244,1079.573386303126,744.1118222935875,59.197353864257884,13561221.96135202,2,25.805520993041856,1356134324,121,1.0,0
S3,high,2055,2138.071270543616,10782.222222222226,954.85207308086,308.927,1263.7790730808601,874.2921974627557,59.108369795340714,16013114.122977989,2,30.945967389706645,1601328963,125,1.0,0
S3,high,2060,2430.0000000000005,12095.2380952381,1083.9034312341741,351.857,1435.7604312341741,994.2395687658263,59.08479140881374,18263359.785373528,2,35.39576453102029,1826358125,132,1.0,0
S3,low,2025,0.0,1261.7190721006984,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,96,1.0,0
S3,low,2030,27.000000000000004,1452.3809523809548,22.030615571520475,0.0,22.030615571520475,4.969384428479529,81.59487248711287,0.0,0,0.0,0,97,1.0,0
S3,low,2035,49.32142857142859,2073.8095238095275,39.809317778616546,0.0,39.809317778616546,9.512110792812045,80.71404039111245,0.0,0,0.0,0,103,1.0,0
S3,low,2040,70.58857142857143,2566.190476190481,55.772252252258006,0.244,56.016252252258006,14.572319176313421,79.35597947174898,11627.342144915821,1,0.04066666666666666,1162660,101,1.0,0
S3,low,2045,90.29571428571431,3058.571428571434,69.61802133566405,1.342,70.96002133566405,19.33569295005026,78.58625616619176,63950.38179703702,1,0.2236666666666667,6394630,114,1.0,0
S3,low,2050,107.93714285714287,3550.952380952387,82.64127804635636,2.094,84.73527804635636,23.201864810786518,78.50428110600011,99785.46906333495,1,0.349,9977910,121,1.0,0
