scenario,tier,year,region,demand_methanol_10kt,local_direct_methanol_10kt,pipeline_served_methanol_10kt,served_methanol_10kt,unserved_methanol_10kt,demand_met_pct,pipeline_share_pct
S1,high,2025,CC,0,0,0,0,0,0,0
S1,high,2025,EC,31.36455282093,15.12026055164,0,15.12026055164,16.24429226929,48.20811773713,0
S1,high,2025,NC,10.43345782552,10.43345782552,0,10.43345782552,0,100,0
S1,high,2025,NE,3.743948261679,3.743948261679,0,3.743948261679,0,100,0
S1,high,2025,NW,0,0,0,0,0,0,0
S1,high,2025,SC,13.85804109188,10.53693706359,0,10.53693706359,3.321104028287,76.03482334719,0
S1,high,2025,SW,0,0,0,0,0,0,0
S1,high,2030,CC,0,0,0,0,0,0,0
S1,high,2030,EC,209.0970188062,97.6774621458,0,97.6774621458,111.4195566604,46.71394298372,0
S1,high,2030,NC,69.55638550344,59.67708746066,0,59.67708746066,9.87929804278,85.79670583617,0
S1,high,2030,NE,24.95965507786,24.95965507786,0,24.95965507786,0,100,0
S1,high,2030,NW,0,0,0,0,0,0,0
S1,high,2030,SC,92.3869406125,44.94391916425,0,44.94391916425,47.44302144825,48.64748076545,0
S1,high,2030,SW,0,0,0,0,0,0,0
S1,high,2035,CC,0,0,0,0,0,0,0
S1,high,2035,EC,412.2624785399,191.2567033233,0,191.2567033233,221.0057752166,46.39197435591,0
S1,high,2035,NC,137.1396304435,112.0502369956,0,112.0502369956,25.0893934479,81.70522017104,0
S1,high,2035,NE,49.21126721294,49.21126721294,0,49.21126721294,0,100,0
S1,high,2035,NW,0,0,0,0,0,0,0
S1,high,2035,SC,182.153094956,74.59757508547,0,74.59757508547,107.5555198706,40.95322953666,0
S1,high,2035,SW,0,0,0,0,0,0,0
S1,high,2040,CC,0,0,0,0,0,0,0
S1,high,2040,EC,653.0897334032,295.7738061567,6.377,302.1508061567,350.9389272465,46.26482253552,2.110535490907
S1,high,2040,NC,217.2511187595,171.774684231,0,171.774684231,45.47643452855,79.06734161453,0
S1,high,2040,NE,77.95852171258,77.95852171258,0,77.95852171258,0,100,0
S1,high,2040,NW,0,0,0,0,0,0,0
S1,high,2040,SC,288.5596492912,105.3219163743,0,105.3219163743,183.237732917,36.49918366376,0
S1,high,2040,SW,0,0,0,0,0,0,0
S1,high,2045,CC,0,0,0,0,0,0,0
S1,high,2045,EC,925.3423245351,361.1418320202,66.222,427.3638320202,497.9784925149,46.18440340281,15.49546195497
S1,high,2045,NC,307.8162845912,238.9097645183,0,238.9097645183,68.90652007287,77.61440069216,0
S1,high,2045,NE,110.4569801196,110.4569801196,0,110.4569801196,0,100,0
S1,high,2045,NW,0,0,0,0,0,0,0
S1,high,2045,SC,408.8511011354,138.5300592575,0,138.5300592575,270.3210418779,33.88276535707,0
S1,high,2045,SW,0,0,0,0,0,0,0
S1,high,2050,CC,0,0,0,0,0,0,0
S1,high,2050,EC,1215.336611683,424.8945126611,135.765,560.6595126611,654.6770990219,46.13203513096,24.21523169305
S1,high,2050,NC,404.2832478498,310.228640892,0,310.228640892,94.05460695782,76.73546765589,0
S1,high,2050,NE,145.0732430539,145.0732430539,0,145.0732430539,0,100,0
S1,high,2050,NW,0,0,0,0,0,0,0
S1,high,2050,SC,536.9815026958,173.1404736225,0,173.1404736225,363.8410290733,32.24328449924,0
S1,high,2050,SW,0,0,0,0,0,0,0
S1,high,2055,CC,0,0,0,0,0,0,0
S1,high,2055,EC,1499.625525319,488.6471933019,202.71,691.3571933019,808.2683320174,46.10198890517,29.32058883077
S1,high,2055,NC,498.8523114554,380.202092378,0,380.202092378,118.6502190774,76.21536147016,0
S1,high,2055,NE,179.0084625387,179.0084625387,0,179.0084625387,0,100,0
S1,high,2055,NW,0,0,0,0,0,0,0
S1,high,2055,SC,662.5910552894,207.2999456108,0,207.2999456108,455.2911096787,31.28625778388,0
S1,high,2055,SW,0,0,0,0,0,0,0
S1,high,2060,CC,0,0,0,0,0,0,0
S1,high,2060,EC,1742.475156718,552.3998739427,250.773,803.1728739427,939.3022827756,46.09379197436,31.222792519
S1,high,2060,NC,579.636545862,440.4034506724,0,440.4034506724,139.2330951896,75.979241443,0
