scenario,tier,year,province_key,supply_10kt
high,high,2025,上海,0
high,high,2025,云南,55.42463688618
high,high,2025,内蒙古,249.9712308819
high,high,2025,北京,0.1514952466769
high,high,2025,吉林,31.25517412693
high,high,2025,四川,5.682936472736
high,high,2025,天津,3.304104513969
high,high,2025,宁夏,49.19439301438
high,high,2025,安徽,6.102839052569
high,high,2025,山东,41.55364391617
high,high,2025,山西,43.61439242789
high,high,2025,广东,6.826635729473
high,high,2025,广西,19.06381496691
high,high,2025,新疆,229.8525943639
high,high,2025,江苏,12.04392863904
high,high,2025,江西,8.474082760956
high,high,2025,河北,112.8684626215
high,high,2025,河南,26.39369296253
high,high,2025,浙江,0.8302725596161
high,high,2025,海南,2.991317349124
high,high,2025,湖北,13.64348342791
high,high,2025,湖南,19.15037681832
high,high,2025,甘肃,86.26073717587
high,high,2025,福建,0
high,high,2025,西藏,16.08768591622
high,high,2025,贵州,12.85981034489
high,high,2025,辽宁,33.35094620209
high,high,2025,重庆,0
high,high,2025,陕西,35.8170385815
high,high,2025,青海,111.5778280558
high,high,2025,黑龙江,27.37151708563
high,high,2030,上海,0
high,high,2030,云南,176.5043695686
high,high,2030,内蒙古,750.2788870267
high,high,2030,北京,0.4472879549939
high,high,2030,吉林,91.71546443959
high,high,2030,四川,17.47101124782
high,high,2030,天津,10.36842564131
high,high,2030,宁夏,155.1158315936
high,high,2030,安徽,19.08215470382
high,high,2030,山东,125.7877869537
high,high,2030,山西,129.690007386
high,high,2030,广东,20.20857693682
high,high,2030,广西,57.25788989098
high,high,2030,新疆,717.0514552634
high,high,2030,江苏,35.69280120139
high,high,2030,江西,25.32913880717
high,high,2030,河北,341.7664060064
high,high,2030,河南,77.37817705485
high,high,2030,浙江,2.41087553233
high,high,2030,海南,9.270030253372
high,high,2030,湖北,43.12595000117
high,high,2030,湖南,56.47005516283
high,high,2030,甘肃,267.4644876623
high,high,2030,福建,0
high,high,2030,西藏,51.4812545177
high,high,2030,贵州,41.31703024709
high,high,2030,辽宁,98.19002344218
high,high,2030,重庆,0
high,high,2030,陕西,112.4865164869
high,high,2030,青海,358.2380829362
high,high,2030,黑龙江,81.41589509663
high,high,2035,上海,0
high,high,2035,云南,252.7839930999
high,high,2035,内蒙古,1069.269927867
high,high,2035,北京,0.636554552692
high,high,2035,吉林,130.4542054191
high,high,2035,四川,24.94946651348
high,high,2035,天津,14.83167667759
high,high,2035,宁夏,221.974286849
high,high,2035,安徽,27.2883473815
high,high,2035,山东,179.3980181491
high,high,2035,山西,184.6811923047
high,high,2035,广东,28.76625265731
high,high,2035,广西,81.6065444244
high,high,2035,新疆,1025.223875703
high,high,2035,江苏,50.81244787465
high,high,2035,江西,36.08530771583
high,high,2035,河北,487.4379338881
high,high,2035,河南,110.0522043736
high,high,2035,浙江,3.4260047149
high,high,2035,海南,13.24684368893
high,high,2035,湖北,61.72655582619
high,high,2035,湖南,80.35612341052
high,high,2035,甘肃,382.2229213555
high,high,2035,福建,0
high,high,2035,西藏,73.75838251998
high,high,2035,贵州,59.21472967143
