sector,city_code,activity_year,activity_value,activity_unit,indicator,normalization_group,source_id,evidence_grade,temporal_method,evidence_note,review_status
C,310000,2025,0.08670910890107296,share,2025_ask_allocated_refinery_city_share,frozen_v08_ask_refinery_share,V08-AVIATION-REFINERY-ASK,D_model_proxy,fixed_base_share,"Frozen v0.8 airport-ASK to refinery-city spatial proxy; not refinery activity and not measured city methanol demand.",approved
C,110000,2025,0.07732136893142244,share,2025_ask_allocated_refinery_city_share,frozen_v08_ask_refinery_share,V08-AVIATION-REFINERY-ASK,D_model_proxy,fixed_base_share,"Frozen v0.8 airport-ASK to refinery-city spatial proxy; not refinery activity and not measured city methanol demand.",approved
C,510100,2025,0.16711152859829015,share,2025_ask_allocated_refinery_city_share,frozen_v08_ask_refinery_share,V08-AVIATION-REFINERY-ASK,D_model_proxy,fixed_base_share,"Frozen v0.8 airport-ASK to refinery-city spatial proxy; not refinery activity and not measured city methanol demand.",approved
C,120000,2025,0.020954520573070727,share,2025_ask_allocated_refinery_city_share,frozen_v08_ask_refinery_share,V08-AVIATION-REFINERY-ASK,D_model_proxy,fixed_base_share,"Frozen v0.8 airport-ASK to refinery-city spatial proxy; not refinery activity and not measured city methanol demand.",approved
C,640100,2025,0.0164677153910721,share,2025_ask_allocated_refinery_city_share,frozen_v08_ask_refinery_share,V08-AVIATION-REFINERY-ASK,D_model_proxy,fixed_base_share,"Frozen v0.8 airport-ASK to refinery-city spatial proxy; not refinery activity and not measured city methanol demand.",approved
C,370500,2025,0.027231844291712343,share,2025_ask_allocated_refinery_city_share,frozen_v08_ask_refinery_share,V08-AVIATION-REFINERY-ASK,D_model_proxy,fixed_base_share,"Frozen v0.8 airport-ASK to refinery-city spatial proxy; not refinery activity and not measured city methanol demand.",approved
C,370100,2025,0.01801132614328807,share,2025_ask_allocated_refinery_city_share,frozen_v08_ask_refinery_share,V08-AVIATION-REFINERY-ASK,D_model_proxy,fixed_base_share,"Frozen v0.8 airport-ASK to refinery-city spatial proxy; not refinery activity and not measured city methanol demand.",approved
C,440100,2025,0.0622064425934105,share,2025_ask_allocated_refinery_city_share,frozen_v08_ask_refinery_share,V08-AVIATION-REFINERY-ASK,D_model_proxy,fixed_base_share,"Frozen v0.8 airport-ASK to refinery-city spatial proxy; not refinery activity and not measured city methanol demand.",approved
C,441300,2025,0.07321237922952414,share,2025_ask_allocated_refinery_city_share,frozen_v08_ask_refinery_share,V08-AVIATION-REFINERY-ASK,D_model_proxy,fixed_base_share,"Frozen v0.8 airport-ASK to refinery-city spatial proxy; not refinery activity and not measured city methanol demand.",approved
C,440900,2025,0.07554831156145676,share,2025_ask_allocated_refinery_city_share,frozen_v08_ask_refinery_share,V08-AVIATION-REFINERY-ASK,D_model_proxy,fixed_base_share,"Frozen v0.8 airport-ASK to refinery-city spatial proxy; not refinery activity and not measured city methanol demand.",approved
C,650100,2025,0.04475067595272673,share,2025_ask_allocated_refinery_city_share,frozen_v08_ask_refinery_share,V08-AVIATION-REFINERY-ASK,D_model_proxy,fixed_base_share,"Frozen v0.8 airport-ASK to refinery-city spatial proxy; not refinery activity and not measured city methanol demand.",approved
C,320700,2025,0.005236861278654762,share,2025_ask_allocated_refinery_city_share,frozen_v08_ask_refinery_share,V08-AVIATION-REFINERY-ASK,D_model_proxy,fixed_base_share,"Frozen v0.8 airport-ASK to refinery-city spatial proxy; not refinery activity and not measured city methanol demand.",approved
C,360400,2025,0.007969642547983984,share,2025_ask_allocated_refinery_city_share,frozen_v08_ask_refinery_share,V08-AVIATION-REFINERY-ASK,D_model_proxy,fixed_base_share,"Frozen v0.8 airport-ASK to refinery-city spatial proxy; not refinery activity and not measured city methanol demand.",approved
C,130900,2025,0.008799519830989918,share,2025_ask_allocated_refinery_city_share,frozen_v08_ask_refinery_share,V08-AVIATION-REFINERY-ASK,D_model_proxy,fixed_base_share,"Frozen v0.8 airport-ASK to refinery-city spatial proxy; not refinery activity and not measured city methanol demand.",approved
C,410300,2025,0.03835625626206316,share,2025_ask_allocated_refinery_city_share,frozen_v08_ask_refinery_share,V08-AVIATION-REFINERY-ASK,D_model_proxy,fixed_base_share,"Frozen v0.8 airport-ASK to refinery-city spatial proxy; not refinery activity and not measured city methanol demand.",approved
C,330200,2025,0.059210973434019036,share,2025_ask_allocated_refinery_city_share,frozen_v08_ask_refinery_share,V08-AVIATION-REFINERY-ASK,D_model_proxy,fixed_base_share,"Frozen v0.8 airport-ASK to refinery-city spatial proxy; not refinery activity and not measured city methanol demand.",approved
C,330900,2025,0.0005065389640839886,share,2025_ask_allocated_refinery_city_share,frozen_v08_ask_refinery_share,V08-AVIATION-REFINERY-ASK,D_model_proxy,fixed_base_share,"Frozen v0.8 airport-ASK to refinery-city spatial proxy; not refinery activity and not measured city methanol demand.",approved
