sector,city_code,activity_year,activity_value,activity_unit,indicator,normalization_group,source_id,evidence_grade,temporal_method,evidence_note,review_status
B,310000,2025,2,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,110000,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,510100,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,120000,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,640100,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,370500,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,370100,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,440100,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,441300,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,440900,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,650100,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,320700,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,360400,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,130900,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,410300,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,330200,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,330900,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,420100,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,430600,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,620100,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,621000,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,210200,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,211100,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
B,632800,2025,1,count,documented_refinery_count,refinery_count_proxy_v038,REFINERY-CITY-ASSIGN-V038,D_model_proxy,fixed_base_share,"Frozen documented refinery count used only as a chemical-infrastructure proxy; not measured city methanol demand.",approved
