alias,city_code,canonical_city_name,province_name,resolution_method,evidence_note,review_status
北京,110000,北京市,北京市,audited_alias,Audited short form for municipality Beijing.,approved
苏州(苏州,320500,苏州市,江苏省,audited_alias,Audited malformed legacy source label; exact lookup only.,approved
乌鲁木齐,650100,乌鲁木齐市,新疆维吾尔自治区,audited_alias,Audited suffix-free form for Urumqi.,approved
七台河市,230900,七台河市,黑龙江省,canonical,Exact canonical name from frozen 2024 city master.,approved
三亚市,460200,三亚市,海南省,canonical,Exact canonical name from frozen 2024 city master.,approved
三明市,350400,三明市,福建省,canonical,Exact canonical name from frozen 2024 city master.,approved
三沙市,460300,三沙市,海南省,canonical,Exact canonical name from frozen 2024 city master.,approved
三门峡市,411200,三门峡市,河南省,canonical,Exact canonical name from frozen 2024 city master.,approved
上海市,310000,上海市,上海市,canonical,Exact canonical name from frozen 2024 city master.,approved
上饶市,361100,上饶市,江西省,canonical,Exact canonical name from frozen 2024 city master.,approved
东莞市,441900,东莞市,广东省,canonical,Exact canonical name from frozen 2024 city master.,approved
东营市,370500,东营市,山东省,canonical,Exact canonical name from frozen 2024 city master.,approved
中卫市,640500,中卫市,宁夏回族自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
中山市,442000,中山市,广东省,canonical,Exact canonical name from frozen 2024 city master.,approved
临夏回族自治州,622900,临夏回族自治州,甘肃省,canonical,Exact canonical name from frozen 2024 city master.,approved
临汾市,141000,临汾市,山西省,canonical,Exact canonical name from frozen 2024 city master.,approved
临沂市,371300,临沂市,山东省,canonical,Exact canonical name from frozen 2024 city master.,approved
临沧市,530900,临沧市,云南省,canonical,Exact canonical name from frozen 2024 city master.,approved
丹东市,210600,丹东市,辽宁省,canonical,Exact canonical name from frozen 2024 city master.,approved
丽水市,331100,丽水市,浙江省,canonical,Exact canonical name from frozen 2024 city master.,approved
丽江市,530700,丽江市,云南省,canonical,Exact canonical name from frozen 2024 city master.,approved
乌兰察布市,150900,乌兰察布市,内蒙古自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
乌海市,150300,乌海市,内蒙古自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
乌鲁木齐市,650100,乌鲁木齐市,新疆维吾尔自治区,canonical,Exact canonical name from frozen 2024 city master.,approved
乐山市,511100,乐山市,四川省,canonical,Exact canonical name from frozen 2024 city master.,approved
九江市,360400,九江市,江西省,canonical,Exact canonical name from frozen 2024 city master.,approved
云浮市,445300,云浮市,广东省,canonical,Exact canonical name from frozen 2024 city master.,approved
亳州市,341600,亳州市,安徽省,canonical,Exact canonical name from frozen 2024 city master.,approved
伊春市,230700,伊春市,黑龙江省,canonical,Exact canonical name from frozen 2024 city master.,approved
