sector,city_code,activity_year,activity_value,activity_unit,indicator,normalization_group,source_id,evidence_grade,temporal_method,evidence_note,review_status
A,210200,2025,29958,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871; excluded residual is disclosed rather than allocated without city evidence.",approved
A,210800,2025,21965,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871; excluded residual is disclosed rather than allocated without city evidence.",approved
A,130300,2025,19852,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871; excluded residual is disclosed rather than allocated without city evidence.",approved
A,130900,2025,36611,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official Huanghua port row mapped to Cangzhou city; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,130200,2025,88399,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,120000,2025,59485,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port municipality row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,370600,2025,54413,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,370200,2025,74130,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,371100,2025,64452,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,310000,2025,89185,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Sum of official Shanghai coastal and inland rows; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
A,320700,2025,36753,10kt,major_port_cargo_throughput,official_major_port_cargo_2025_10kt,MOT-2025-PORT,A_official_national,fixed_base_share,"Official major-port city row; official_national_total_10kt=1833806; included_total_10kt=1421640; excluded_total_10kt=412166; excluded_share=0.224759871.",approved
