sector,city_code,activity_year,activity_value,activity_unit,indicator,normalization_group,source_id,evidence_grade,temporal_method,evidence_note,review_status
D,120000,2022,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOT-2022-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,130100,2022,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOT-2022-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,330200,2022,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOT-2022-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,330700,2022,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOT-2022-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,350200,2022,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOT-2022-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,350100,2022,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOT-2022-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,350500,2022,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOT-2022-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,370100,2022,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOT-2022-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,371300,2022,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOT-2022-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,410100,2022,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOT-2022-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,420100,2022,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOT-2022-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,440100,2022,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOT-2022-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,500000,2022,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOT-2022-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,510100,2022,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOT-2022-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,530100,2022,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOT-2022-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,140100,2023,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2023-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,230100,2023,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2023-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,220100,2023,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2023-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,320700,2023,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2023-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,320300,2023,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2023-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,320800,2023,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2023-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,430100,2023,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2023-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,430200,2023,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2023-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,430300,2023,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2023-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,610100,2023,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2023-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,640100,2023,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2023-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,620100,2023,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2023-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,630100,2023,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2023-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,650100,2023,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2023-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
D,210200,2024,1,binary_flag,2022_2024_national_integrated_freight_hub_support_membership,freight_hub_support_membership_2022_2024,MOF-2024-FREIGHT-HUBS,D_model_proxy,fixed_base_share,"Official policy-support membership expanded to city accounts; not freight tonnage; coverage=44/337; selection_bias=high; sensitivity_priority=high.",approved
