省份,中石化样本_汽油_万吨,中石化样本_柴油_万吨,中石化样本_煤油_万吨,中石化样本合计_万吨,汽油修正系数,修正后汽油需求_万吨,柴油修正系数,修正后柴油需求_万吨,煤油修正系数,修正后煤油需求_万吨,修正后成品油总需求_万吨,修正后成品油总需求_t,全国需求占比,样本需求占比,数据覆盖说明
北京市,20.5,6.0,5.0,31.5,28.10545078196872,576.1617410303587,46.015626861049576,276.09376116629744,203.03783783783783,1015.1891891891892,1867.4446913858453,18674446.913858455,0.04948525047793026,0.03281079110462997,中石化油库表有样本
天津市,8.5,6.11,0.0,14.61,28.10545078196872,238.89633164673413,46.015626861049576,281.15548012101294,203.03783783783783,0.0,520.051811767747,5200518.117677471,0.013780806620693186,0.015217957398052186,中石化油库表有样本
河北省,18.0,11.0,0.0,29.0,28.10545078196872,505.898114075437,46.015626861049576,506.1718954715453,203.03783783783783,0.0,1012.0700095469823,10120700.095469823,0.026818753002246638,0.030206760064579972,中石化油库表有样本
山西省,11.5,9.5,0.5,21.5,28.10545078196872,323.2126839926403,46.015626861049576,437.148455179971,203.03783783783783,101.51891891891891,861.8800580915301,8618800.580915302,0.02283888286133995,0.02239466694442998,中石化油库表有样本
内蒙古自治区,2.0,2.5,0.0,4.5,28.10545078196872,56.21090156393744,46.015626861049576,115.03906715262394,203.03783783783783,0.0,171.2499687165614,1712499.687165614,0.004537937661750979,0.004687255872089995,中石化油库表有样本
辽宁省,0.0,2.0,0.0,2.0,28.10545078196872,0.0,46.015626861049576,92.03125372209915,203.03783783783783,0.0,92.03125372209915,920312.5372209916,0.0024387279919151597,0.002083224832039998,中石化油库表有样本
吉林省,0.0,0.0,0.0,0.0,28.10545078196872,0.0,46.015626861049576,0.0,203.03783783783783,0.0,0.0,0.0,0.0,0.0,中石化油库表未出现，按0分配
黑龙江省,0.0,2.5,0.0,2.5,28.10545078196872,0.0,46.015626861049576,115.03906715262394,203.03783783783783,0.0,115.03906715262394,1150390.6715262395,0.0030484099898939496,0.0026040310400499973,中石化油库表有样本
上海市,20.0,14.0,0.0,34.0,28.10545078196872,562.1090156393744,46.015626861049576,644.2187760546941,203.03783783783783,0.0,1206.3277916940685,12063277.916940685,0.03196637266197641,0.03541482214467997,中石化油库表有样本
江苏省,50.0,39.5,0.0,89.5,28.10545078196872,1405.272539098436,46.015626861049576,1817.6172610114581,203.03783783783783,0.0,3222.889800109894,32228898.001098942,0.08540306963675012,0.09322431123378991,中石化油库表有样本
浙江省,43.5,35.0,0.0,78.5,28.10545078196872,1222.5871090156393,46.015626861049576,1610.5469401367352,203.03783783783783,0.0,2833.1340491523742,28331340.491523743,0.07507496672140566,0.08176657465756992,中石化油库表有样本
安徽省,35.4,27.0,0.0,62.4,28.10545078196872,994.9329576816926,46.015626861049576,1242.4219252483385,203.03783783783783,0.0,2237.354882930031,22373548.82930031,0.05928746768272406,0.06499661475964794,中石化油库表有样本
福建省,13.5,8.97,0.0,22.47,28.10545078196872,379.42358555657773,46.015626861049576,412.76017294361475,203.03783783783783,0.0,792.1837585001924,7921837.585001924,0.020992006828774435,0.023405030987969377,中石化油库表有样本
江西省,30.7,21.15,0.0,51.85,28.10545078196872,862.8373390064397,46.015626861049576,973.2305081111984,203.03783783783783,0.0,1836.0678471176382,18360678.471176382,0.0486537982775082,0.05400760377063695,中石化油库表有样本
山东省,26.96,15.09,0.0,42.05,28.10545078196872,757.7229530818768,46.015626861049576,694.3758093332381,203.03783783783783,0.0,1452.0987624151148,14520987.624151148,0.03847903571563263,0.043799802093640955,中石化油库表有样本
河南省,37.5,29.4,8.0,74.9,28.10545078196872,1053.954404323827,46.015626861049576,1352.8594297148575,203.03783783783783,1624.3027027027026,4031.116536741387,40311165.36741387,0.10682019791351251,0.07801676995989792,中石化油库表有样本
湖北省,29.0,22.35,0.0,51.35,28.10545078196872,815.0580726770929,46.015626861049576,1028.449260344458,203.03783783783783,0.0,1843.507333021551,18435073.33021551,0.04885093655157883,0.05348679756262695,中石化油库表有样本
湖南省,38.3,22.62,0.0,60.92,28.10545078196872,1076.438764949402,46.015626861049576,1040.8734795969415,203.03783783783783,0.0,2117.312244546343,21173122.445463434,0.05610646850462255,0.06345502838393834,中石化油库表有样本
广东省,51.5,40.0,5.0,96.5,28.10545078196872,1447.430715271389,46.015626861049576,1840.625074441983,203.03783783783783,1015.1891891891892,4303.244978902561,43032449.78902561,0.11403130525427192,0.1005155981459299,中石化油库表有样本
广西壮族自治区,27.7,27.0,0.0,54.7,28.10545078196872,778.5209866605335,46.015626861049576,1242.4219252483385,203.03783783783783,0.0,2020.942911908872,20209429.11908872,0.053552786146074505,0.05697619915629395,中石化油库表有样本
海南省,0.0,0.0,0.0,0.0,28.10545078196872,0.0,46.015626861049576,0.0,203.03783783783783,0.0,0.0,0.0,0.0,0.0,中石化油库表未出现，按0分配
重庆市,0.0,0.0,0.0,0.0,28.10545078196872,0.0,46.015626861049576,0.0,203.03783783783783,0.0,0.0,0.0,0.0,0.0,中石化油库表未出现，按0分配
