origin_province,records,ask_km,seats,ask_share
广东省,33119,9637146630,6380652,0.10371406379449688
北京市,21142,6378714804,4346782,0.0686471275688121
海南省,14559,5380196639,2748845,0.05790116918083913
云南省,21310,5354871162,4010143,0.057628618784124445
上海市,19550,5328887825,3746953,0.057348988560088736
四川省,17660,4516532709,3180460,0.04860649936081317
山东省,17503,4430596329,3322856,0.04768166013819068
浙江省,16261,4258847969,2988804,0.045833320474021826
新疆维吾尔自治区,10784,4158254318,1874058,0.044750741082248545
辽宁省,13317,4058884451,2516936,0.04368133193854968
重庆市,15962,3695052074,2740588,0.039765802186079634
福建省,12926,3651423075,2624691,0.03929627101058729
黑龙江省,9085,3246465594,1687924,0.03493815676463929
江苏省,11221,3079126585,2131162,0.033137270120380154
陕西省,14145,3013251114,2407939,0.03242832450980719
河南省,8717,2249815955,1649813,0.02421230727738205
广西壮族自治区,9365,2177838155,1575921,0.023437688977215383
吉林省,5063,1988913202,983682,0.02140449643796123
内蒙古自治区,11417,1970860531,1718395,0.021210215294004506
天津市,7820,1947104123,1292163,0.020954551069993412
湖北省,8211,1699253432,1582055,0.018287205291745753
贵州省,8464,1640525784,1321948,0.017655183878663574
甘肃省,6440,1597226812,1071478,0.017189204422642355
湖南省,7182,1574791670,1330821,0.016947759538802645
山西省,5678,1371499817,1050085,0.01475995177573414
宁夏回族自治区,3565,947677441,681122,0.010198815307688179
河北省,3312,867707936,590456,0.009338191031477044
江西省,3611,710407532,638434,0.0076453389081555445
西藏自治区,2093,655861192,353142,0.00705831633770864
安徽省,3419,599211121,523011,0.00644865361250252
青海省,2277,592352603,411309,0.006374842888156645
,1173,141046810,191889,0.001517932476487626
