province,province_key,cargo_throughput_10kt,source_indicator,source_unit,source_agency,source_page_url,source_pdf_url,accessed_date,share,rounding_diff_vs_coastal_total_10kt
辽宁,辽宁,73328,2025年港口货物吞吐量_沿海省份_自年初累计,万吨,交通运输部综合规划司,https://xxgk.mot.gov.cn/jigou/zhghs/202601/t20260130_4199411.html,https://xxgk.mot.gov.cn/jigou/zhghs/202601/P020260130498887936897.pdf,2026-07-09,0.06302943201480497,1.0
河北,河北,144862,2025年港口货物吞吐量_沿海省份_自年初累计,万吨,交通运输部综合规划司,https://xxgk.mot.gov.cn/jigou/zhghs/202601/t20260130_4199411.html,https://xxgk.mot.gov.cn/jigou/zhghs/202601/P020260130498887936897.pdf,2026-07-09,0.12451682277613842,1.0
天津,天津,59485,2025年港口货物吞吐量_沿海省份_自年初累计,万吨,交通运输部综合规划司,https://xxgk.mot.gov.cn/jigou/zhghs/202601/t20260130_4199411.html,https://xxgk.mot.gov.cn/jigou/zhghs/202601/P020260130498887936897.pdf,2026-07-09,0.05113061536385383,1.0
山东,山东,219130,2025年港口货物吞吐量_沿海省份_自年初累计,万吨,交通运输部综合规划司,https://xxgk.mot.gov.cn/jigou/zhghs/202601/t20260130_4199411.html,https://xxgk.mot.gov.cn/jigou/zhghs/202601/P020260130498887936897.pdf,2026-07-09,0.18835423627269546,1.0
上海,上海,81153,2025年港口货物吞吐量_沿海省份_自年初累计,万吨,交通运输部综合规划司,https://xxgk.mot.gov.cn/jigou/zhghs/202601/t20260130_4199411.html,https://xxgk.mot.gov.cn/jigou/zhghs/202601/P020260130498887936897.pdf,2026-07-09,0.06975544807300714,1.0
江苏,江苏,60750,2025年港口货物吞吐量_沿海省份_自年初累计,万吨,交通运输部综合规划司,https://xxgk.mot.gov.cn/jigou/zhghs/202601/t20260130_4199411.html,https://xxgk.mot.gov.cn/jigou/zhghs/202601/P020260130498887936897.pdf,2026-07-09,0.05221795214514786,1.0
浙江,浙江,177653,2025年港口货物吞吐量_沿海省份_自年初累计,万吨,交通运输部综合规划司,https://xxgk.mot.gov.cn/jigou/zhghs/202601/t20260130_4199411.html,https://xxgk.mot.gov.cn/jigou/zhghs/202601/P020260130498887936897.pdf,2026-07-09,0.15270248316776877,1.0
福建,福建,75612,2025年港口货物吞吐量_沿海省份_自年初累计,万吨,交通运输部综合规划司,https://xxgk.mot.gov.cn/jigou/zhghs/202601/t20260130_4199411.html,https://xxgk.mot.gov.cn/jigou/zhghs/202601/P020260130498887936897.pdf,2026-07-09,0.06499265510450897,1.0
广东,广东,198751,2025年港口货物吞吐量_沿海省份_自年初累计,万吨,交通运输部综合规划司,https://xxgk.mot.gov.cn/jigou/zhghs/202601/t20260130_4199411.html,https://xxgk.mot.gov.cn/jigou/zhghs/202601/P020260130498887936897.pdf,2026-07-09,0.17083736965926388,1.0
广西,广西,48553,2025年港口货物吞吐量_沿海省份_自年初累计,万吨,交通运输部综合规划司,https://xxgk.mot.gov.cn/jigou/zhghs/202601/t20260130_4199411.html,https://xxgk.mot.gov.cn/jigou/zhghs/202601/P020260130498887936897.pdf,2026-07-09,0.04173396264203068,1.0
海南,海南,24116,2025年港口货物吞吐量_沿海省份_自年初累计,万吨,交通运输部综合规划司,https://xxgk.mot.gov.cn/jigou/zhghs/202601/t20260130_4199411.html,https://xxgk.mot.gov.cn/jigou/zhghs/202601/P020260130498887936897.pdf,2026-07-09,0.020729022780780013,1.0
