管段ID,管道名称,起点节点,终点节点,起点节点ID,终点节点ID,起点经度_WGS84,起点纬度_WGS84,终点经度_WGS84,终点纬度_WGS84,设计输量_万吨年,投产年份,管段方向,坐标说明
S001,西部成品油管道,乌鲁木齐,哈密,N009,N034,87.61399479,43.82418589,93.51362048,42.81802454,1000.0,2006,乌鲁木齐首站 → 哈密站,节点坐标为城市点位或别名映射后的地级市点位
S002,西部成品油管道,哈密,柳园,N034,N068,93.51362048,42.81802454,98.49115772,39.73039911,1000.0,2006,哈密站 → 柳园站,节点坐标为城市点位或别名映射后的地级市点位
S003,西部成品油管道,柳园,酒泉,N068,N136,98.49115772,39.73039911,98.49115772,39.73039911,1000.0,2006,柳园站 → 酒泉站,节点坐标为城市点位或别名映射后的地级市点位
S004,西部成品油管道,酒泉,张掖,N136,N052,98.49115772,39.73039911,100.4482023,38.92467819,1000.0,2006,酒泉站 → 张掖站,节点坐标为城市点位或别名映射后的地级市点位
S005,西部成品油管道,张掖,武威,N052,N077,100.4482023,38.92467819,102.63634,37.92858453,1000.0,2006,张掖站 → 武威站,节点坐标为城市点位或别名映射后的地级市点位
S006,西部成品油管道,武威,兰州,N077,N018,102.63634,37.92858453,103.8314138,36.06163277,1000.0,2006,武威站 → 兰州末站,节点坐标为城市点位或别名映射后的地级市点位
S007,独山子-703泵站-乌鲁木齐成品油管道,独山子,703,N100,N001,84.88680126,45.57908248,87.3044857,44.00921537,100.0,1998,独山子 → 703泵站,节点坐标为城市点位或别名映射后的地级市点位
S008,独山子-703泵站-乌鲁木齐成品油管道,703,乌鲁木齐,N001,N009,87.3044857,44.00921537,87.61399479,43.82418589,100.0,1998,703泵站 → 乌鲁木齐,节点坐标为城市点位或别名映射后的地级市点位
S009,独山子-乌鲁木齐成品油管道,独山子,王家沟,N100,N102,84.88680126,45.57908248,87.61399479,43.82418589,520.0,2004,独山子 → 王家沟,节点坐标为城市点位或别名映射后的地级市点位
S010,克拉玛依-乌鲁木齐成品油管道,克拉玛依,王家沟,N015,N102,84.88680126,45.57908248,87.61399479,43.82418589,160.0,1996,克拉玛依 → 王家沟首站,节点坐标为城市点位或别名映射后的地级市点位
S011,克拉玛依-乌鲁木齐成品油管道（复线）,克拉玛依,王家沟,N015,N102,84.88680126,45.57908248,87.61399479,43.82418589,400.0,2009,克拉玛依 → 王家沟首站,节点坐标为城市点位或别名映射后的地级市点位
S012,兰郑长成品油管道,兰州,咸阳,N018,N033,103.8314138,36.06163277,108.7047772,34.3303351,1000.0,2009,兰州 → 咸阳,节点坐标为城市点位或别名映射后的地级市点位
S013,兰郑长成品油管道,咸阳,郑州,N033,N133,108.7047772,34.3303351,113.6193176,34.74752068,1500.0,2009,咸阳 → 郑州,节点坐标为城市点位或别名映射后的地级市点位
S014,兰郑长成品油管道,郑州,武汉,N133,N078,113.6193176,34.74752068,114.3012374,30.59713291,1000.0,2009,郑州 → 武汉,节点坐标为城市点位或别名映射后的地级市点位
S015,兰郑长成品油管道,武汉,长沙,N078,N144,114.3012374,30.59713291,112.9334488,28.23178771,500.0,2009,武汉 → 长沙,节点坐标为城市点位或别名映射后的地级市点位
S016,大港-济南-枣庄成品油管道,大港,沧州,N037,N084,117.2614223,39.13515139,116.855601,38.31116389,285.0,2007,大港首站 → 沧州清管站,节点坐标为城市点位或别名映射后的地级市点位
S017,大港-济南-枣庄成品油管道,沧州,德州,N084,N055,116.855601,38.31116389,116.3499607,37.4368547,285.0,2007,沧州清管站 → 德州分输泵站,节点坐标为城市点位或别名映射后的地级市点位
S018,大港-济南-枣庄成品油管道,德州,济南,N055,N089,116.3499607,37.4368547,116.9954885,36.64792998,285.0,2007,德州分输泵站 → 济南分输站,节点坐标为城市点位或别名映射后的地级市点位
S019,大港-济南-枣庄成品油管道,济南,济南,N089,N089,116.9954885,36.64792998,116.9954885,36.64792998,285.0,2007,济南分输站 → 济南清管站,节点坐标为城市点位或别名映射后的地级市点位
S020,大港-济南-枣庄成品油管道,济南,兖州,N089,N016,116.9954885,36.64792998,116.5836833,35.41651785,285.0,2007,济南清管站 → 兖州分输站,节点坐标为城市点位或别名映射后的地级市点位
S021,银巴线,银川,巴彦淖尔,N139,N049,106.2305529,38.4866953,107.3813318,40.7431593,240.0,2017,银川 → 巴音淖尔,节点坐标为城市点位或别名映射后的地级市点位
S022,大港-济南-枣庄成品油管道,兖州,肥城,N016,N114,116.5836833,35.41651785,117.0815513,36.20000913,285.0,2007,兖州分输站 → 肥城分输泵站,节点坐标为城市点位或别名映射后的地级市点位
S023,大港-济南-枣庄成品油管道,肥城,枣庄,N114,N067,117.0815513,36.20000913,117.3160283,34.81395871,285.0,2007,肥城分输泵站 → 枣庄末站,节点坐标为城市点位或别名映射后的地级市点位
S024,呼和浩特-包头-鄂尔多斯成品油管道,呼和浩特,包头,N032,N020,111.7415103,40.84127836,109.9479759,40.62075692,200.0,2014,呼和浩特 → 包头,节点坐标为城市点位或别名映射后的地级市点位
