管道名称,管段数,管段ID列表,起止节点列表,设计输量最小值_万吨年,设计输量最大值_万吨年,设计输量中位数_万吨年,长度合计_km,投产年份最早,投产年份最晚,油品,管输折算系数,年份,管道瓶颈占用率,管道瓶颈占用率_%,管道平均占用率,管道平均占用率_%,瓶颈管段ID,瓶颈管段,瓶颈管段任务_万吨年,瓶颈管段设计输量_万吨年,管道代表任务_万吨年,代表任务管段ID,代表任务管段,超设计管段数,高负荷管段数,管道负荷等级
珠三角成品油管网,9,S067；S064；S065；S059；S060；S061；S062；S063；S066,惠州→梅州；黄埔→南沙；黄埔→惠州；茂名→江门；南沙→南海；三水→花都；南沙→斗门；北沙→珠海；大鹏湾→妈湾,100.0,550.0,250.0,1802.8100000000002,2006.0,2015.0,0#柴油、-35#柴油、92#汽油,0.2192948931298923,2025,1.4708344872378465,147.08344872378464,0.35395618654926053,35.395618654926054,S067,惠州→梅州,176.50013846854156,120.0,267.8941648885136,S064,黄埔→南沙,1,2,超过设计输量
西南成品油管网（北线）,8,S045；S046；S047；S048；S052；S049；S050；S051,湛江→茂名；茂名→柳州；柳州→贵阳；贵阳→曲靖；柳州→桂林；江津→重庆；柳州→柳库；贵阳→简阳,500.0,800.0,700.0,7127.96,2005.0,2016.0,92#汽油、95#汽油、0#车柴,0.2192948931298923,2025,1.4046881982967283,140.46881982967284,0.37690130473242667,37.69013047324267,S045,湛江→茂名,702.3440991483642,500.0,702.3440991483642,S045,湛江→茂名,1,1,超过设计输量
云南成品油管网（安保线）,2,S037；S036,大理→保山；安宁→大理,57.0,173.0,115.0,791.0,2017.0,2017.0,0号柴油、92号汽油、95号汽油,0.2192948931298923,2025,1.1934488524007,119.34488524007001,0.940337262240041,94.0337262240041,S037,大理→保山,68.0265845868399,57.0,118.89004126973305,S036,安宁→大理,1,1,超过设计输量
云南成品油管网（安曲线）,3,S041；S040；S042,寻甸→曲靖；安宁→寻甸；寻甸→昆明,155.0,323.0,168.0,1124.6999999999998,2017.0,2017.0,0号柴油、92号汽油、95号汽油、3号喷气燃料,0.2192948931298923,2025,1.1294623097965866,112.94623097965865,0.5571547823351582,55.715478233515825,S041,寻甸→曲靖,175.06665801847092,155.0,175.06665801847092,S041,寻甸→曲靖,1,1,超过设计输量
安庆-亳州成品油管道,4,S088；S087；S086；S089,淮南→阜阳；合肥→淮南；安庆→合肥；阜阳→亳州,140.0,410.0,205.0,1665.0,2016.0,2016.0,92#汽油、95#汽油、0#车用柴油、0#普通柴油,0.2192948931298923,2025,1.1255609923692238,112.55609923692238,0.7787319604410232,77.87319604410231,S088,淮南→阜阳,157.57853893169133,140.0,264.4642573297067,S086,安庆→合肥,1,1,超过设计输量
长岭-郴州成品油管道,7,S077；S076；S078；S074；S072；S073；S075,衡阳→耒阳；湘潭→衡阳；耒阳→郴州；汨罗→长沙；长岭→七里山；七里山→汨罗；长沙→湘潭,100.0,600.0,385.0,3859.2400000000007,2014.0,2014.0,92#汽油、95#汽油、0#柴油,0.2192948931298923,2025,1.0666202063369232,106.66202063369232,0.6229118092878618,62.29118092878618,S077,衡阳→耒阳,145.06034806182157,136.0,326.8698778916,S072,长岭→七里山,1,1,超过设计输量
浙苏成品油管道,2,S094；S093,嘉兴(陈山→苏州(苏州；嘉兴(陈山→湖州(湖州,510.0,510.0,510.0,439.78,2007.0,2007.0,0#柴油、-10#柴油、90#汽油、93#汽油、97#汽油,0.2192948931298923,2025,0.9422523362923836,94.22523362923836,0.4969238616962308,49.692386169623084,S094,嘉兴(陈山→苏州(苏州,480.5486915091157,510.0,480.5486915091157,S094,嘉兴(陈山→苏州(苏州,0,1,高负荷
抚顺-锦州-郑州成品油管道,7,S026；S027；S028；S029；S030；S031；S032,抚顺→辽阳；辽阳→辽河；辽河→锦州；锦州→固安；固安→保定；保定→邯郸；邯郸→郑州,600.0,1300.0,800.0,11160.099999999999,2018.0,2018.0,0#柴油、92#车用汽油、92#组分汽油,0.2192948931298923,2025,0.8933482067988138,89.33482067988137,0.4251509178802328,42.51509178802328,S026,抚顺→辽阳,536.0089240792882,600.0,536.0089240792882,S026,抚顺→辽阳,0,2,高负荷
九江-赣州成品油管道,4,S081；S082；S083；S084,九江→南昌；南昌→吉安长塘；吉安长塘→樟树；樟树→赣州,170.0,330.0,257.0,2171.56,2016.0,2016.0,92#汽油、95#汽油、0#柴油,0.2192948931298923,2025,0.8667045345251498,86.67045345251498,0.6122459552546214,61.22459552546214,S081,九江→南昌,286.01249639329944,330.0,286.01249639329944,S081,九江→南昌,0,1,高负荷
苏南成品油管道,1,S098,南京(南京→苏州(苏州,580.0,580.0,580.0,373.25,2010.0,2010.0,0#柴油、-10#柴油、90#汽油、93#汽油、97#汽油,0.2192948931298923,2025,0.8285322267398547,82.85322267398547,0.8285322267398547,82.85322267398547,S098,南京(南京→苏州(苏州,480.5486915091157,580.0,480.5486915091157,S098,南京(南京→苏州(苏州,0,1,高负荷
