管段ID,管道名称,起点节点,终点节点,年份,设计输量_万吨年,同管道运输任务_万吨,同管道运输任务_t,同管道利用率,同管道负荷等级,全网连通运输任务_万吨,全网连通运输任务_t,全网连通利用率,全网连通负荷等级,同管道下游节点数,全网下游节点数,投产年份,管段方向,端点补齐说明,管输折算系数
S045,西南成品油管网（北线）,湛江,茂名,2025,500.0,702.3440991483642,7023440.991483642,1.4046881982967283,超过设计输量,766.0066366066811,7660066.366066812,1.5320132732133622,超过设计输量,7,8,2006,湛江 → 茂名,,0.21929489312989234
S046,西南成品油管网（北线）,茂名,柳州,2025,800.0,585.2781943849949,5852781.943849949,0.7315977429812436,中负荷,585.2781943849949,5852781.943849949,0.7315977429812436,中负荷,6,6,2005,茂名 → 柳州,,0.21929489312989234
S012,兰郑长成品油管道,兰州,咸阳,2025,1000.0,563.0523474025721,5630523.47402572,0.563052347402572,中负荷,1188.480024059896,11884800.24059896,1.188480024059896,超过设计输量,4,14,2009,兰州 → 咸阳,,0.21929489312989234
S026,抚顺-锦州-郑州成品油管道,抚顺,辽阳,2025,600.0,536.0089240792882,5360089.240792882,0.8933482067988138,高负荷,1670.8080680873081,16708080.680873081,2.784680113478847,超过设计输量,7,25,2018,抚顺 → 辽阳,,0.21929489312989234
S027,抚顺-锦州-郑州成品油管道,辽阳,辽河,2025,600.0,531.4020617099129,5314020.61709913,0.8856701028498548,高负荷,1666.2012057179327,16662012.057179328,2.777002009529888,超过设计输量,6,24,2018,辽阳 → 辽河,,0.21929489312989234
S028,抚顺-锦州-郑州成品油管道,辽河,锦州,2025,750.0,526.400327891527,5264003.278915271,0.7018671038553693,中负荷,1661.1994718995468,16611994.718995467,2.214932629199396,超过设计输量,5,23,2018,辽河 → 锦州,,0.21929489312989234
S029,抚顺-锦州-郑州成品油管道,锦州,固安,2025,1300.0,506.99064388500915,5069906.438850092,0.38999280298846856,低负荷,1641.789787893029,16417897.87893029,1.262915221456176,超过设计输量,4,22,2018,锦州 → 固安,,0.21929489312989234
S094,浙苏成品油管道,嘉兴(陈山,苏州(苏州,2025,510.0,480.5486915091157,4805486.915091157,0.9422523362923837,高负荷,480.5486915091157,4805486.915091157,0.9422523362923837,高负荷,1,1,2007,浙江嘉兴(陈山首站) → 江苏苏州(苏州末站),,0.21929489312989234
S098,苏南成品油管道,南京(南京,苏州(苏州,2025,580.0,480.5486915091157,4805486.915091157,0.8285322267398547,高负荷,480.5486915091157,4805486.915091157,0.8285322267398547,高负荷,1,1,2010,江苏南京(南京首站) → 江苏苏州(苏州末站),,0.21929489312989234
S047,西南成品油管网（北线）,柳州,贵阳,2025,800.0,438.876206889867,4388762.068898669,0.5485952586123337,中负荷,438.876206889867,4388762.068898669,0.5485952586123337,中负荷,3,3,2005,柳州 → 贵阳,,0.21929489312989234
