province,province_std,year,scenario,projected_curtailed_wind_TWh,projected_curtailed_solar_TWh,projected_curtailed_total_TWh,methanol_supply_Mt,h2_required_Mt,co2_required_Mt,allocation_basis
内蒙古,内蒙古,2025,base,18.75650685224431,7.49047239035592,26.24697924260023,2.4997123088190696,0.47169571267415844,3.433354856162992,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
新疆,新疆,2025,base,8.92123408041998,15.21328832778759,24.13452240820757,2.298525943638816,0.4337318455646446,3.157025383587914,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
河北省,河北,2025,base,7.550537585881702,4.300650989378535,11.851188575260236,1.1286846262152606,0.21298278896681969,1.5502483341066604,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
青海省,青海,2025,base,1.2164685006353329,10.499203445223973,11.715671945859306,1.1157782805580292,0.2105473615413001,1.532521468346453,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
甘肃省,甘肃,2025,base,3.8494893402760972,5.207888063190141,9.057377403466237,0.8626073717586893,0.16277401105086467,1.1847912251105597,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
云南省,云南,2025,base,1.0472821271845012,4.772304745864704,5.8195868730492055,0.5542463688618291,0.10458628980422716,0.7612573876317222,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
宁夏,宁夏,2025,base,1.4040630208374498,3.7613482456724627,5.165411266509913,0.4919439301438012,0.0928298196181353,0.675684988052511,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
山西省,山西,2025,base,3.6456476485695966,0.933863556358693,4.57951120492829,0.4361439242788847,0.08230035851142554,0.5990436799970481,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
山东省,山东,2025,base,2.791119104277188,1.5720135069206416,4.3631326111978295,0.415536439161698,0.07841172606981242,0.5707392991885922,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
陕西省,陕西,2025,base,1.159878675317219,2.6009103757397622,3.7607890510569812,0.3581703858149506,0.06758675180328118,0.4919470249168346,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
辽宁省,辽宁,2025,base,3.0884897367996644,0.41335961441926156,3.501849351218926,0.3335094620208501,0.06293323548333442,0.45807524608563754,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
吉林省,吉林,2025,base,2.9876977969712124,0.29409548635666977,3.281793283327882,0.3125517412693221,0.05897851357752108,0.4292898166334139,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
黑龙江省,黑龙江,2025,base,2.280255762000019,0.5937535319909774,2.8740092939909965,0.2737151708562854,0.05165005274058106,0.37594778717110794,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
河南省,河南,2025,base,2.544971216598712,0.2263665444672212,2.7713377610659333,0.263936929625327,0.04980489862029921,0.3625173728403866,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
湖南省,湖南,2025,base,1.746283310743122,0.2645062551806918,2.0107895659238135,0.19150376818322035,0.03613676105617368,0.2630304255996531,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
广西,广西,2025,base,1.4186153730328108,0.5830851984927504,2.001700571525561,0.19063814966910106,0.03597341884255937,0.2618414985705103,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
西藏,西藏,2025,base,0.22774988315134762,1.461457138051902,1.6892070212032495,0.16087685916221423,0.030357463323909824,0.22096436605930123,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
湖北省,湖北,2025,base,0.35677934785504173,1.0757864120760279,1.4325657599310695,0.1364348342791495,0.02574525322847551,0.18739324488241182,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
贵州省,贵州,2025,base,0.13143647857843593,1.2188436076349438,1.3502800862133797,0.1285981034488933,0.024266462120806166,0.17662949508705494,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
江苏省,江苏,2025,base,1.0436840622819785,0.22092844481716403,1.2646125070991425,0.12043928639039453,0.02272689334186745,0.16542335985720688,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
江西省,江西,2025,base,0.6681894695032881,0.22158922039710843,0.8897786899003965,0.08474082760956157,0.01599059416992427,0.11639152672173282,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
广东省,广东,2025,base,0.5984724037529313,0.11832434784170882,0.7167967515946402,0.06826635729472763,0.012881861621515105,0.0937638417443084,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
安徽省,安徽,2025,base,0.22348686876085186,0.4173112317588635,0.6407981005197153,0.06102839052568717,0.011516057292197169,0.08382249438703132,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
四川省,四川,2025,base,0.299529773423876,0.29717855621340944,0.5967083296372855,0.05682936472736052,0.01072370112405293,0.07805513245302967,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
天津市,天津,2025,base,0.10957376561250053,0.23735720835425528,0.3469309739667558,0.03304104513969103,0.0062348452178596974,0.04538187549936563,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
海南省,海南,2025,base,0.13502473580959576,0.17906358584842935,0.31408832165802514,0.02991317349124049,0.00564461583779708,0.041085743790218815,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
浙江省,浙江,2025,base,0.08717861875969313,0.0,0.08717861875969313,0.008302725596161251,0.0015667243199956281,0.011403793606327478,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
北京市,北京,2025,base,0.013641841421469772,0.0022651594796036178,0.01590700090107339,0.0015149524667688943,0.00028587153047929037,0.0020807872131070764,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
上海市,上海,2025,base,0.0,0.0,0.0,0.0,0.0,0.0,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
福建省,福建,2025,base,0.0,0.0,0.0,0.0,0.0,0.0,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
重庆市,重庆,2025,base,0.0,0.0,0.0,0.0,0.0,0.0,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
内蒙古,内蒙古,2025,high,18.75650685224431,7.49047239035592,26.24697924260023,2.4997123088190696,0.47169571267415844,3.433354856162992,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
新疆,新疆,2025,high,8.92123408041998,15.21328832778759,24.13452240820757,2.298525943638816,0.4337318455646446,3.157025383587914,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
河北省,河北,2025,high,7.550537585881702,4.300650989378535,11.851188575260236,1.1286846262152606,0.21298278896681969,1.5502483341066604,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
青海省,青海,2025,high,1.2164685006353329,10.499203445223973,11.715671945859306,1.1157782805580292,0.2105473615413001,1.532521468346453,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
甘肃省,甘肃,2025,high,3.8494893402760972,5.207888063190141,9.057377403466237,0.8626073717586893,0.16277401105086467,1.1847912251105597,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
云南省,云南,2025,high,1.0472821271845012,4.772304745864704,5.8195868730492055,0.5542463688618291,0.10458628980422716,0.7612573876317222,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
宁夏,宁夏,2025,high,1.4040630208374498,3.7613482456724627,5.165411266509913,0.4919439301438012,0.0928298196181353,0.675684988052511,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
山西省,山西,2025,high,3.6456476485695966,0.933863556358693,4.57951120492829,0.4361439242788847,0.08230035851142554,0.5990436799970481,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
山东省,山东,2025,high,2.791119104277188,1.5720135069206416,4.3631326111978295,0.415536439161698,0.07841172606981242,0.5707392991885922,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
陕西省,陕西,2025,high,1.159878675317219,2.6009103757397622,3.7607890510569812,0.3581703858149506,0.06758675180328118,0.4919470249168346,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
辽宁省,辽宁,2025,high,3.0884897367996644,0.41335961441926156,3.501849351218926,0.3335094620208501,0.06293323548333442,0.45807524608563754,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
吉林省,吉林,2025,high,2.9876977969712124,0.29409548635666977,3.281793283327882,0.3125517412693221,0.05897851357752108,0.4292898166334139,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
黑龙江省,黑龙江,2025,high,2.280255762000019,0.5937535319909774,2.8740092939909965,0.2737151708562854,0.05165005274058106,0.37594778717110794,2025 province calibrated curtailed wind/solar shares from NBS generation + province utilization
