candidate_id,from_node_id,to_node_id,distance_km,capacity_10kt,candidate_types,from_name,to_name,from_province,to_province,from_component,to_component
C0001,N002,N142,1.0,364.35,local_gap_le_120km;nearest_3_le_350km;reverse_existing_direction,七里山,长岭,湖南省,湖南省,1,1
C0002,N003,N027,1.0,364.35,local_gap_le_120km;nearest_3_le_350km,三水,南海,广东省,广东省,11,5
C0003,N005,N107,1.0,364.35,local_gap_le_120km;nearest_3_le_350km,东孚,石湖山,福建省,福建省,6,6
C0004,N006,N095,1.0,364.35,closest_component_bridge_le_800km;local_gap_le_120km;nearest_3_le_350km,东海岛,湛江,广东省,广东省,2,27
C0005,N009,N102,1.0,364.35,local_gap_le_120km;nearest_3_le_350km,乌鲁木齐,王家沟,新疆维吾尔自治区,新疆维吾尔自治区,1,1
C0006,N015,N100,1.0,364.35,local_gap_le_120km;nearest_3_le_350km,克拉玛依,独山子,新疆维吾尔自治区,新疆维吾尔自治区,1,1
C0007,N016,N065,1.0,364.35,local_gap_le_120km;nearest_3_le_350km,兖州,曲阜,山东省,山东省,1,1
C0008,N016,N090,1.0,364.35,local_gap_le_120km;nearest_3_le_350km,兖州,济宁,山东省,山东省,1,1
C0009,N021,N060,1.0,364.35,closest_component_bridge_le_800km;local_gap_le_120km;nearest_3_le_350km,北沙,斗门,广东省,广东省,13,5
C0010,N022,N023,1.0,364.35,closest_component_bridge_le_800km;local_gap_le_120km;nearest_3_le_350km,南京(南京,南京(扬子,江苏省,江苏省,7,8
C0011,N023,N022,1.0,364.35,closest_component_bridge_le_800km;local_gap_le_120km;nearest_3_le_350km,南京(扬子,南京(南京,江苏省,江苏省,8,7
C0012,N026,N115,1.0,364.35,closest_component_bridge_le_800km;local_gap_le_120km;nearest_3_le_350km,南沙,花都,广东省,广东省,5,11
C0013,N026,N150,1.0,364.35,local_gap_le_120km;nearest_3_le_350km;reverse_existing_direction,南沙,黄埔,广东省,广东省,5,5
C0014,N027,N003,1.0,364.35,local_gap_le_120km;nearest_3_le_350km,南海,三水,广东省,广东省,5,11
