scenario,capacity_10kt_y_per_link,anchor_mean_demand_met_gain_pp
ALL,200.0,7.302696346589857
ALL,280.0,8.782314725373583
ALL,364.35,9.199386246571596
ALL,480.0,9.293396533029929
ALL,600.0,9.293396533029929
S1,200.0,12.686867003366999
S1,280.0,14.033668350168346
S1,364.35,14.373952861952858
S1,480.0,14.373952861952858
S1,600.0,14.373952861952858
S2,200.0,4.166666666666662
S2,280.0,5.66821770833333
S2,364.35,6.156291666666665
S2,480.0,6.156291666666665
S2,600.0,6.156291666666665
S3,200.0,10.537016460905347
S3,280.0,10.537016460905347
S3,364.35,10.537016460905347
S3,480.0,10.537016460905347
S3,600.0,10.537016460905347
S4,200.0,12.002944444444445
S4,280.0,12.002944444444445
S4,364.35,12.002944444444445
S4,480.0,12.002944444444445
S4,600.0,12.002944444444445
S5,200.0,5.892835734155891
S5,280.0,7.355808812024634
S5,364.35,7.355808812024634
S5,480.0,7.355808812024634
S5,600.0,7.355808812024634
S6,200.0,7.00661862706329
S6,280.0,7.3210056095024685
S6,364.35,7.3210056095024685
S6,480.0,7.3210056095024685
S6,600.0,7.3210056095024685
S7,200.0,10.486288015077529
S7,280.0,10.658480253576633
S7,364.35,10.658480253576633
S7,480.0,10.658480253576633
S7,600.0,10.658480253576633
S8,200.0,11.382468045977006
S8,280.0,11.382468045977006
S8,364.35,11.382468045977006
S8,480.0,11.382468045977006
S8,600.0,11.382468045977006
