scenario,scenario_name,tier,tier_label,year,from_node_id,to_node_id,flow_methanol_10kt,edge_spare_capacity_10kt,flow_to_spare_pct,edge_distance_km,segment_count,avg_unit_cost,segment_ids,edge_desc
S5,全并存,low,低档,2025,N018,N033,89.2894,436.9476525974279,20.434804825983313,482.78375552822115,1,3614.0,S012,兰郑长成品油管道:兰州->咸阳
S5,全并存,low,低档,2025,N018,N057,8.3292,637.2002561058623,1.3071557834741696,597.290904615042,1,4186.0,S034,兰成渝成品油管道:兰州->成都
S5,全并存,low,低档,2025,N033,N133,103.9534,1138.2823286391263,9.132479472318746,452.4888286733156,1,3462.0,S013,兰郑长成品油管道:咸阳->郑州
S5,全并存,low,低档,2025,N034,N068,12.2787,991.4819700022991,1.2384188892483368,539.1852382576222,1,3896.0,S002,西部成品油管道:哈密->柳园
S5,全并存,low,低档,2025,N052,N077,12.2787,991.5947786368739,1.238278000705015,220.44441556684987,1,2302.0,S005,西部成品油管道:张掖->武威
S5,全并存,low,低档,2025,N055,N089,46.8046,211.93997054134474,22.08389473700973,104.77585623653098,1,1724.0,S018,大港-济南-枣庄成品油管道:德州->济南
S5,全并存,low,低档,2025,N065,N067,46.7082,410.2824767677972,11.384400417967374,94.47876262249402,1,1672.0,S114,鲁皖一期管道:曲阜->枣庄
S5,全并存,low,低档,2025,N067,N053,46.7082,491.37406438060924,9.50562990313235,67.88353726217804,1,1539.0,S115,鲁皖一期管道:枣庄->徐州
S5,全并存,low,低档,2025,N068,N136,12.2787,991.541850008519,1.2383441001400501,1.0,1,1205.0,S003,西部成品油管道:柳园->酒泉
S5,全并存,low,低档,2025,N077,N018,12.2787,997.3030978452247,1.2311904000428142,233.1471451641557,1,2366.0,S006,西部成品油管道:武威->兰州
S5,全并存,low,低档,2025,N078,N144,24.5411,367.5755948888899,6.676476986296722,294.48902906980624,1,2672.0,S015,兰郑长成品油管道:武汉->长沙
S5,全并存,low,低档,2025,N084,N055,69.4395,182.36150170582619,38.07793824379409,106.86955196721219,1,1734.0,S017,大港-济南-枣庄成品油管道:沧州->德州
S5,全并存,low,低档,2025,N086,N065,46.7082,410.2824767677972,11.384400417967374,98.00774338545631,1,1690.0,S113,鲁皖一期管道:泰安->曲阜
S5,全并存,low,低档,2025,N089,N086,46.7082,387.8579383308359,12.04260513553257,50.398245413639174,1,1452.0,S112,鲁皖一期管道:济南->泰安
S5,全并存,low,低档,2025,N133,N078,49.6097,638.2823286391264,7.772375604659494,465.89075796209175,1,3529.0,S014,兰郑长成品油管道:郑州->武汉
S5,全并存,low,低档,2025,N136,N052,12.2787,991.541850008519,1.2383441001400501,190.68247460045217,1,2153.0,S004,西部成品油管道:酒泉->张掖
S5,全并存,low,低档,2025,N140,N036,18.312,793.0093561149909,2.3091783039877094,414.53635969453006,1,3273.0,S029,抚顺-锦州-郑州成品油管道:锦州->固安
S5,全并存,low,低档,2030,N006,N024,1.5889,428.6009848107069,0.37071776694627595,270.92089606559665,1,2555.0,S053,西南成品油管网（南线）:东海岛->南宁
S5,全并存,low,低档,2030,N018,N057,3.9756,651.116647298594,0.6105818391365502,597.290904615042,1,4186.0,S034,兰成渝成品油管道:兰州->成都
S5,全并存,low,低档,2030,N053,N046,35.6018,590.040307309705,6.033791176458228,68.2755770992949,1,1541.0,S116,鲁皖一期管道:徐州->宿州
S5,全并存,low,低档,2030,N055,N089,83.9389,214.17833010793208,39.191126365445186,104.77585623653098,1,1724.0,S018,大港-济南-枣庄成品油管道:德州->济南
S5,全并存,low,低档,2030,N065,N067,83.9389,417.28772187724223,20.115353411882356,94.47876262249402,1,1672.0,S114,鲁皖一期管道:曲阜->枣庄
S5,全并存,low,低档,2030,N067,N007,0.0578,593.264279905094,0.009742706911200926,99.71124775590306,1,1699.0,S118,鲁皖一期管道:枣庄->临沂
S5,全并存,low,低档,2030,N067,N053,91.7112,494.64530972647526,18.540800488073703,67.88353726217804,1,1539.0,S115,鲁皖一期管道:枣庄->徐州
S5,全并存,low,低档,2030,N078,N144,11.3453,380.57836281469605,2.9810680554963755,294.48902906980624,1,2672.0,S015,兰郑长成品油管道:武汉->长沙
S5,全并存,low,低档,2030,N084,N055,83.9389,184.55885049482794,45.48083160192434,106.86955196721219,1,1734.0,S017,大港-济南-枣庄成品油管道:沧州->德州
S5,全并存,low,低档,2030,N086,N065,83.9389,417.28772187724223,20.115353411882356,98.00774338545631,1,1690.0,S113,鲁皖一期管道:泰安->曲阜
S5,全并存,low,低档,2030,N089,N086,83.9389,395.5889364524727,21.218717781326195,50.398245413639174,1,1452.0,S112,鲁皖一期管道:济南->泰安
S5,全并存,low,低档,2030,N132,N133,61.6978,800.0,7.712225,224.7582135830768,1,2324.0,S032,抚顺-锦州-郑州成品油管道:邯郸->郑州
S5,全并存,low,低档,2030,N133,N078,25.2829,678.1742083164372,3.728083387713111,465.89075796209175,1,3529.0,S014,兰郑长成品油管道:郑州->武汉
S5,全并存,low,低档,2030,N140,N036,36.8993,799.0875062711441,4.617679504487138,414.53635969453006,1,3273.0,S029,抚顺-锦州-郑州成品油管道:锦州->固安
S5,全并存,low,低档,2035,N053,N046,29.4905,590.7167893391488,4.99232466932112,68.2755770992949,1,1541.0,S116,鲁皖一期管道:徐州->宿州
S5,全并存,low,低档,2035,N055,N089,26.5577,217.16003490666327,12.229552279918662,104.77585623653098,1,1724.0,S018,大港-济南-枣庄成品油管道:德州->济南
S5,全并存,low,低档,2035,N065,N067,26.5577,441.2936038329033,6.01814750300712,94.47876262249402,1,1672.0,S114,鲁皖一期管道:曲阜->枣庄
S5,全并存,low,低档,2035,N067,N007,0.0462,600.490534575954,0.0076937099487546234,99.71124775590306,1,1699.0,S118,鲁皖一期管道:枣庄->临沂
S5,全并存,low,低档,2035,N067,N053,74.3242,510.7553069775432,14.551821387784008,67.88353726217804,1,1539.0,S115,鲁皖一期管道:枣庄->徐州
S5,全并存,low,低档,2035,N084,N055,26.5577,190.1268471093715,13.968411302125332,106.86955196721219,1,1734.0,S017,大港-济南-枣庄成品油管道:沧州->德州
S5,全并存,low,低档,2035,N086,N065,26.5577,441.2936038329033,6.01814750300712,98.00774338545631,1,1690.0,S113,鲁皖一期管道:泰安->曲阜
S5,全并存,low,低档,2035,N089,N086,26.5577,420.5323573809044,6.315257205272533,50.398245413639174,1,1452.0,S112,鲁皖一期管道:济南->泰安
S5,全并存,low,低档,2035,N132,N133,12.2757,800.0,1.5344625,224.7582135830768,1,2324.0,S032,抚顺-锦州-郑州成品油管道:邯郸->郑州
S5,全并存,low,低档,2035,N133,N078,0.0917,712.9433799680733,0.012862171467824902,465.89075796209175,1,3529.0,S014,兰郑长成品油管道:郑州->武汉
S5,全并存,low,低档,2035,N140,N036,36.758,880.5126987403823,4.1746132739010084,414.53635969453006,1,3273.0,S029,抚顺-锦州-郑州成品油管道:锦州->固安
S5,全并存,low,低档,2040,N053,N046,24.3039,594.0855871798838,4.09097620350803,68.2755770992949,1,1541.0,S116,鲁皖一期管道:徐州->宿州
S5,全并存,low,低档,2040,N067,N007,0.0327,604.3680408754009,0.005410610387775547,99.71124775590306,1,1699.0,S118,鲁皖一期管道:枣庄->临沂
S5,全并存,low,低档,2040,N067,N053,56.0965,520.0134834621572,10.7875087442963,67.88353726217804,1,1539.0,S115,鲁皖一期管道:枣庄->徐州
S5,全并存,low,低档,2040,N140,N036,36.5913,944.2994237852738,3.8749679474887158,414.53635969453006,1,3273.0,S029,抚顺-锦州-郑州成品油管道:锦州->固安
S5,全并存,low,低档,2045,N053,N046,20.5296,599.3703686137759,3.425194349777562,68.2755770992949,1,1541.0,S116,鲁皖一期管道:徐州->宿州
S5,全并存,low,低档,2045,N067,N007,0.022,608.9254696146957,0.0036129216296241877,99.71124775590306,1,1699.0,S118,鲁皖一期管道:枣庄->临沂
S5,全并存,low,低档,2045,N067,N053,41.908,533.0043471983331,7.862600036994795,67.88353726217804,1,1539.0,S115,鲁皖一期管道:枣庄->徐州
S5,全并存,low,低档,2045,N140,N036,36.4576,1018.6653925666984,3.5789573559713226,414.53635969453006,1,3273.0,S029,抚顺-锦州-郑州成品油管道:锦州->固安
S5,全并存,low,低档,2050,N053,N046,19.0324,607.2788165492509,3.1340464184389107,68.2755770992949,1,1541.0,S116,鲁皖一期管道:徐州->宿州
S5,全并存,low,低档,2050,N067,N007,0.0164,617.2955305548358,0.0026567501606984583,99.71124775590306,1,1699.0,S118,鲁皖一期管道:枣庄->临沂
S5,全并存,low,低档,2050,N067,N053,35.0103,551.7510752633809,6.345307072267629,67.88353726217804,1,1539.0,S115,鲁皖一期管道:枣庄->徐州
S5,全并存,low,低档,2050,N140,N036,36.3875,1091.8228977611855,3.3327291518261455,414.53635969453006,1,3273.0,S029,抚顺-锦州-郑州成品油管道:锦州->固安
S5,全并存,low,低档,2055,N053,N046,18.0846,618.6191010252712,2.9233820892415707,68.2755770992949,1,1541.0,S116,鲁皖一期管道:徐州->宿州
S5,全并存,low,低档,2055,N067,N007,0.0124,630.8494065855263,0.0019656038145640852,99.71124775590306,1,1699.0,S118,鲁皖一期管道:枣庄->临沂
