scenario,year,plan,region,demand_10kt,local_direct_10kt,pipeline_served_10kt,served_demand_10kt,unserved_demand_10kt,demand_satisfaction_pct,baseline_demand_satisfaction_pct,optimized_2060_demand_10kt,optimized_2060_served_demand_10kt,optimized_2060_demand_satisfaction_pct,connector_gain_2060_pp
S1,2025,baseline,东北,124.7982753893138,33.350946202085005,0.0,33.350946202085005,91.4473291872288,26.72388388224536,26.72388388224536,124.7982753893138,124.7982753893138,100.0,73.27611611775464
S1,2030,baseline,东北,124.7982753893138,56.40703474338251,0.0,56.40703474338251,68.39124064593129,45.19856910475585,45.19856910475585,124.7982753893138,124.7982753893138,100.0,54.80143089524415
S1,2035,baseline,东北,124.7982753893138,87.40835173230776,0.0,87.40835173230776,37.38992365700604,70.03971125372807,70.03971125372807,124.7982753893138,124.7982753893138,100.0,29.960288746271928
S1,2040,baseline,东北,124.7982753893138,124.4857558949723,0.0,124.4857558949723,0.312519494341501,99.74958027795931,99.74958027795931,124.7982753893138,124.7982753893138,100.0,0.2504197220406894
S1,2045,baseline,东北,124.7982753893138,124.7982753893138,0.0,124.7982753893138,0.0,100.0,100.0,124.7982753893138,124.7982753893138,100.0,0.0
S1,2050,baseline,东北,124.7982753893138,124.7982753893138,0.0,124.7982753893138,0.0,100.0,100.0,124.7982753893138,124.7982753893138,100.0,0.0
S1,2055,baseline,东北,124.7982753893138,124.7982753893138,0.0,124.7982753893138,0.0,100.0,100.0,124.7982753893138,124.7982753893138,100.0,0.0
S1,2060,baseline,东北,124.7982753893138,124.7982753893138,0.0,124.7982753893138,0.0,100.0,100.0,124.7982753893138,124.7982753893138,100.0,0.0
S1,2025,baseline,华东,1045.4850940309939,54.42784511482538,0.0,54.42784511482538,991.0572489161686,5.2059895856546605,5.2059895856546605,1045.4850940309939,481.1968071837886,46.026175784914955,40.82018619926029
S1,2030,baseline,华东,1045.4850940309939,94.15041530982218,0.0,94.15041530982218,951.3346787211718,9.005428757172798,9.005428757172798,1045.4850940309939,481.1968071837886,46.026175784914955,37.02074702774216
S1,2035,baseline,华东,1045.4850940309939,146.17896832309916,58.4312,204.61016832309915,840.8749257078949,19.57083553761632,19.57083553761632,1045.4850940309939,481.1968071837886,46.026175784914955,26.455340247298636
S1,2040,baseline,华东,1045.4850940309939,201.45716706348625,170.3381,371.7952670634863,673.6898269675077,35.56198641053645,35.56198641053645,1045.4850940309939,481.1968071837886,46.026175784914955,10.464189374378506
S1,2045,baseline,华东,1045.4850940309939,244.6444668524174,202.5655,447.20992877212376,598.2751652588703,42.77535197061987,42.77535197061987,1045.4850940309939,481.1968071837886,46.026175784914955,3.2508238142950816
S1,2050,baseline,华东,1045.4850940309939,265.8430908093124,214.8331,480.67616884277385,564.8089251882201,45.97637705091221,45.97637705091221,1045.4850940309939,481.1968071837886,46.026175784914955,0.04979873400274215
