node_id,node_name,province,longitude,latitude,weak_component_2025,weak_component_size_2025,active_indegree_2025,active_outdegree_2025
N001,703,新疆维吾尔自治区,87.3044857,44.00921537,1,65,1,1
N002,七里山,湖南省,113.260805,29.47623236,1,65,1,1
N003,三水,广东省,113.1135059,23.02428458,11,2,0,1
N004,上饶,江西省,117.938144,28.45851288,24,1,0,0
N005,东孚,福建省,118.0810222,24.48114183,6,4,1,0
N006,东海岛,广东省,110.3828201,21.26187491,2,19,0,1
N007,临沂,山东省,118.3508968,35.10515503,1,65,1,0
N008,临海,浙江省,121.4197134,28.66043016,3,11,1,1
N009,乌鲁木齐,新疆维吾尔自治区,87.61399479,43.82418589,1,65,1,1
N010,九江,江西省,115.9490642,29.65948813,3,11,0,1
N011,亳州,安徽省,115.7750466,33.84858031,12,2,1,0
N012,保定,河北省,115.4554531,38.87308485,1,65,1,1
N013,保山,云南省,99.15527561,25.1118833,25,1,0,0
N014,信阳,河南省,114.0851703,32.15058474,1,65,1,0
N015,克拉玛依,新疆维吾尔自治区,84.88680126,45.57908248,1,65,0,1
N016,兖州,山东省,116.5836833,35.41651785,1,65,1,1
N017,六安,安徽省,116.5092677,31.73197266,4,5,1,0
N018,兰州,甘肃省,103.8314138,36.06163277,1,65,1,2
N019,兴闽,福建省,119.2915964,26.07737918,6,4,1,0
N020,包头,内蒙古自治区,109.9479759,40.62075692,9,3,1,1
N021,北沙,广东省,113.5728911,22.2745396,13,2,0,1
N022,南京(南京,江苏省,118.7902705,32.06154044,7,4,0,1
N023,南京(扬子,江苏省,118.7902705,32.06154044,8,4,0,3
N024,南宁,广西壮族自治区,108.3621636,22.82027814,2,19,2,3
N025,南昌,江西省,115.8530507,28.68633588,3,11,1,1
N026,南沙,广东省,113.2578297,23.1332448,5,5,1,2
N027,南海,广东省,113.1135059,23.02428458,5,5,1,0
N028,南疆(天津,天津市,117.2614223,39.13515139,14,2,0,1
N029,合肥,安徽省,117.2197334,31.82313855,4,5,1,2
N030,吉安长塘,江西省,114.9619304,27.09470019,3,11,1,1
N031,吉林,吉林省,126.549541,43.83796639,15,2,0,1
N032,呼和浩特,内蒙古自治区,111.7415103,40.84127836,9,3,0,1
N033,咸阳,陕西省,108.7047772,34.3303351,1,65,1,1
N034,哈密,新疆维吾尔自治区,93.51362048,42.81802454,1,65,1,1
N035,嘉兴(陈山,浙江省,120.7489996,30.74856427,7,4,0,2
N036,固安,河北省,116.6776883,39.53722851,1,65,1,1
N037,大港,天津市,117.2614223,39.13515139,1,65,0,1
N038,大理,云南省,100.2621213,25.60771126,2,19,2,0
N039,大鹏湾,广东省,114.0548095,22.54760649,16,2,0,1
N040,太原,山西省,112.5426953,37.87098243,1,65,1,0
N041,妈湾,广东省,114.0548095,22.54760649,16,2,1,0
N042,娄底,湖南省,111.990876,27.70083635,1,65,1,0
N043,宁海,浙江省,121.6219554,29.8607673,3,11,1,1
N044,安宁,云南省,102.7432509,25.08100417,2,19,0,3
N045,安庆,安徽省,117.107568,30.53495975,4,5,0,1
N046,宿州,安徽省,116.9588379,33.64921788,1,65,1,0
N047,寻甸,云南省,102.7432509,25.08100417,2,19,1,1
N048,巩义,河南省,113.6193176,34.74752068,1,65,1,1
N049,巴彦淖尔,内蒙古自治区,107.3813318,40.7431593,17,2,1,0
N050,广水,湖北省,113.3761098,31.69215886,18,2,0,1
N051,广水武胜关镇,湖北省,113.3761098,31.69215886,18,2,1,0
N052,张掖,甘肃省,100.4482023,38.92467819,1,65,1,1
N053,徐州,江苏省,117.2749121,34.20440827,1,65,1,1
N054,徐州(新沂,江苏省,117.2749121,34.20440827,8,4,1,0
N055,德州,山东省,116.3499607,37.4368547,1,65,1,1
N056,惠州,广东省,114.4106386,23.11487488,5,5,1,0
N057,成都,四川省,104.0385743,30.69284828,1,65,1,1
N058,抚顺,辽宁省,123.9514419,41.87872444,1,65,0,1
N059,拉萨,西藏自治区,91.17069453,29.65619389,19,2,1,0
N060,斗门,广东省,113.5728911,22.2745396,5,5,1,0
N061,新乡,河南省,113.9183294,35.30446704,1,65,1,1
N062,昆东,云南省,102.7432509,25.08100417,20,2,1,0
N063,昆明,云南省,102.7432509,25.08100417,2,19,1,0
N064,晋中,山西省,112.7446161,37.68567283,1,65,1,1
N065,曲阜,山东省,116.5836833,35.41651785,1,65,1,2
N066,曲靖,云南省,103.7914451,25.49347973,2,19,2,0
N067,枣庄,山东省,117.3160283,34.81395871,1,65,2,2
N068,柳园,甘肃省,98.49115772,39.73039911,1,65,1,1
N069,柳州,广西壮族自治区,109.4257429,24.32828748,2,19,2,3
N070,柳库,广西壮族自治区,109.4257429,24.32828748,2,19,1,0
N071,株洲,湖南省,113.1266032,27.83380795,1,65,1,0
N072,格尔木,青海省,97.36903221,37.37652179,19,2,0,1
N073,桂林,广西壮族自治区,110.2833245,25.27690019,2,19,1,0
N074,桐庐,浙江省,120.2048484,30.24977957,21,2,1,0
