scenario,tier,year,region,demand_methanol_10kt,local_direct_methanol_10kt,pipeline_served_methanol_10kt,served_methanol_10kt,unserved_methanol_10kt,demand_met_pct,pipeline_share_pct
S1,mid,2060,NC,347.7819275171847,261.99460865017085,0.0,261.99460865017085,85.7873188670139,75.33301414497022,0.0
S1,mid,2060,NE,124.7982753893138,124.7982753893138,0.0,124.7982753893138,0.0,100.0,0.0
S1,mid,2060,EC,1045.4850940309939,289.3523149223388,191.84439999999998,481.1967149223388,564.288379108655,46.02616696016457,39.86818572337139
S1,mid,2060,CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2060,SC,461.93470306250754,135.25622730290496,0.0,135.25622730290496,326.6784757596026,29.280378028797397,0.0
S1,mid,2060,SW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S1,mid,2060,NW,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S2,mid,2060,NC,375.87721799667526,189.72735616025017,157.5025,347.22985616025016,28.647361836425112,92.37853201396248,45.359722732860554
S2,mid,2060,NE,17.558841541789153,17.558841541789153,0.0,17.558841541789153,0.0,100.0,0.0
S2,mid,2060,EC,1151.541496079269,269.80142243920716,364.4882,634.2896224392073,517.2518736400618,55.08178598850462,57.46400179122179
S2,mid,2060,CC,677.6883295030846,320.9580177633168,356.7301,677.6881177633168,0.00021173976773525283,99.99996875558298,52.639273236392846
S2,mid,2060,SC,536.2690924811086,140.1319431286552,14.5779,154.7098431286552,381.5592493524535,28.84929325553201,9.422735945687153
S2,mid,2060,SW,355.726443351488,269.30141614229154,17.5236,286.82501614229153,68.90142720919641,80.63078286785782,6.109508938825156
S2,mid,2060,NW,85.33857904658572,85.33857904658572,0.0,85.33857904658572,0.0,100.00000000000001,0.0
S3,mid,2060,NC,86.7310815617413,23.429131942271745,61.78,85.20913194227174,1.521949619469556,98.24520853186164,72.50396593859831
S3,mid,2060,NE,86.35103429088183,86.35103429088183,0.0,86.35103429088183,0.0,100.00000000000001,0.0
S3,mid,2060,EC,165.94979940426026,52.20811402661068,62.67900000000001,114.88711402661069,51.06268537764958,69.2300409154103,54.55703238004743
S3,mid,2060,CC,65.31043632619779,65.31043632619779,0.0,65.31043632619779,0.0,100.0,0.0
S3,mid,2060,SC,170.88337804135705,38.045067685928764,0.0,38.045067685928764,132.83831035542826,22.263761474051112,0.0
S3,mid,2060,SW,135.36033816461503,28.40279509141248,106.9575,135.36029509141247,4.307320256202729e-05,99.9999681788601,79.01689334214934
S3,mid,2060,NW,99.41393221094678,99.41393221094678,0.0,99.41393221094678,0.0,100.0,0.0
S4,mid,2060,NC,105.38269134567285,85.33603813779924,17.1587,102.49473813779923,2.8879532078736205,97.2595564119722,16.741054528019724
S4,mid,2060,NE,13.506753376688348,13.506753376688348,0.0,13.506753376688348,0.0,100.0,0.0
S4,mid,2060,EC,482.37118559279645,191.9611544723443,103.79240000000001,295.7535544723443,186.61763112045216,61.312442224111365,35.09421896388588
S4,mid,2060,CC,223.22161080540278,218.36641052261052,4.8552,223.22161052261055,2.827922429560204e-07,99.99999987331323,2.175058225157016
S4,mid,2060,SC,201.1005502751376,119.08558794605884,0.0,119.08558794605884,82.01496232907876,59.21693788660985,0.0
S4,mid,2060,SW,177.3886943471736,175.64423164446748,1.7444,177.3886316444675,6.270270611707929e-05,99.99996465236617,0.9833775613626846
S4,mid,2060,NW,57.028514257128585,57.028514257128585,0.0,57.028514257128585,0.0,100.0,0.0
S5,mid,2060,NC,915.7729184212742,512.4327935787354,0.0,512.4327935787354,403.3401248425387,55.95631660107751,0.0
S5,mid,2060,NE,242.21490459867312,205.83409915159268,0.0,205.83409915159268,36.38080544708045,84.97994765955467,0.0
S5,mid,2060,EC,2845.3475751073197,364.2360037076701,217.9462,582.18220370767,2263.1653713996498,20.46084663964864,37.43608076852807
S5,mid,2060,CC,966.2203766346851,320.9580177633168,614.4936,935.4516177633168,30.768758871368313,96.81555475174981,65.68951171085324
S5,mid,2060,SC,1370.1877238601107,154.70985671441073,0.0,154.70985671441073,1215.4778671457,11.2911431054542,0.0
S5,mid,2060,SW,668.4754758632766,331.93679201402887,176.2956,508.23239201402885,160.2430838492478,76.02857701813099,34.68798974055429
S5,mid,2060,NW,241.78102551466108,241.78102551466108,0.0,241.78102551466108,8.881784197001252e-16,100.0,0.0
S6,mid,2060,NC,871.2733062087,440.62845448927266,0.0,440.62845448927266,430.6448517194274,50.572931748207026,0.0
S6,mid,2060,NE,241.40159916715453,206.53413753412792,0.0,206.53413753412792,34.867461633026615,85.55624248003294,0.0
